row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,326.405.736.338,960.237.059.524,326405736338.0,960237059524.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,7.279.102.413,652.204.810.711,7279102413.0,652204810711.0
Doanh thu cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu cung cấp dịch vụ lưu trú,Doanh thu cung cấp dịch vụ lưu trú,173.707.023.247,153.327.381.779,173707023247.0,153327381779.0
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,145.419.610.678,154.704.867.034,145419610678.0,154704867034.0
Giảm trừ doanh thu,Giảm trừ doanh thu,Giảm trừ doanh thu,-,-,,
Doanh thu thuần,Giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,326.405.736.338,960.237.059.524,326405736338.0,960237059524.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,7.279.102.413,652.204.810.711,7279102413.0,652204810711.0
Doanh thu cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu cung cấp dịch vụ lưu trú,Doanh thu cung cấp dịch vụ lưu trú,173.707.023.247,153.327.381.779,173707023247.0,153327381779.0
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,145.419.610.678,154.704.867.034,145419610678.0,154704867034.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,222.511.729.799,885.895.648.134,222511729799.0,885895648134.0
Doanh thu đối với các bên liên quan,Trong đó: > Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,103.894.006.539,74.341.411.390,103894006539.0,74341411390.0
