row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính,Số cuối năm (VND) > 770.419.543.703,Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng.,"Lãi suất/năm > 12,5% - 13,2%",Hình thức đảm bảo > (ii),numeric__Số cuối năm (VND) > 770.419.543.703,numeric__Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng.,"numeric__Lãi suất/năm > 12,5% - 13,2%",numeric__Hình thức đảm bảo > (ii)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,595.822.248.410,,,,595822248410.0,,,
Ngân hàng TMCP Quân Đội - Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân Đội - Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân Đội - Chi nhánh Điện Biên Phú,348.250.334.875,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 4 năm 2036. Lãi thanh toán 3 tháng/lần.,"9,7% - 11,9%",(iii),348250334875.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính,122.677.000.000,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2024 đến tháng 3 năm 2026. Lãi được thanh toán hàng tháng.,"13,2%",(iv),122677000000.0,,0.132,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,49.070.000.000,,,,49070000000.0,,,
Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,Ngân hàng TMCP Bắc Á - Chi nhánh Hà Nội,86.800.000.000,Gốc được thanh toán 3 tháng 1 lần từ tháng 5 năm 2024 đến tháng 8 năm 2025. Lãi được thanh toán 3 tháng/lần.,"12,45%",(v),86800000000.0,,0.1245,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,43.400.000.000,,,,43400000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.328.146.878.578,,,,1328146878578.0,,,
Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,688.292.248.410639.854.630.168,,,,6.882922484106399e+23,,,
