row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi,Số cuối năm > 690.000.000.000,Đơn vị tính: VND > Số đầu năm > 690.000.000.000,numeric__Số cuối năm > 690.000.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 690.000.000.000
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,(1.302.228.818),(1.302.228.818),-1302228818.0,-1302228818.0
Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,Cấu phần vốn chủ sở hữu,(72.397.227.865),(72.397.227.865),-72397227865.0,-72397227865.0
Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,(18.099.306.966),(18.099.306.966),-18099306966.0,-18099306966.0
Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,Cấu phần nợ gốc ghi nhận ban đầu,598.201.236.351,598.201.236.351,598201236351.0,598201236351.0
Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành,,
Số đầu năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số đầu năm,Số đầu năm,65.449.149.073,4.322.935.910,65449149073.0,4322935910.0
Lãi vay nhập gốc,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Lãi vay nhập gốc,Lãi vay nhập gốc,36.225.000.000,34.500.000.000,36225000000.0,34500000000.0
Số phân bổ trong năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số phân bổ trong năm,Số phân bổ trong năm,31.264.864.313,26.626.213.163,31264864313.0,26626213163.0
Số cuối năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Số cuối năm,Số cuối năm,132.939.013.386,65.449.149.073,132939013386.0,65449149073.0
Cấu phần nợ gốc tại ngày cuối năm,Cộng: Giá trị lũy kế chi phí lãi vay và chi phí phát hành > Cấu phần nợ gốc tại ngày cuối năm,Cấu phần nợ gốc tại ngày cuối năm,731.140.249.737,663.650.385.424,731140249737.0,663650385424.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Trái phiếu chuyển đổi đến hạn chuyển đổi,Trong đó: > - Trái phiếu chuyển đổi đến hạn chuyển đổi,- Trái phiếu chuyển đổi đến hạn chuyển đổi,731.140.249.737,-,731140249737.0,
- Trái phiếu chuyển đổi dài hạn,Trong đó: > - Trái phiếu chuyển đổi dài hạn,- Trái phiếu chuyển đổi dài hạn,-,663.650.385.424,,663650385424.0
