row_label_raw,row_label_full,col_0,Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bàng cân đối kế toán riêng,numeric__Bàng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,2.773.648.649,449.591.042,2.324.057.607,420.880.718,2773648649.0,449591042.0,2324057607.0,420880718.0
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,7.319.562.848,5.888.000.000,1.431.562.848,5.888.000.000,7319562848.0,5888000000.0,1431562848.0,5888000000.0
,,,10.093.211.497,6.337.591.042,,,10093211497.0,6337591042.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(10.265.985.499),(14.728.422.054),4.462.436.555,(1.980.501.372),-10265985499.0,-14728422054.0,4462436555.0,-1980501372.0
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,(5.844.471.989),(12.010.708.808),6.166.236.819,6.088.598.158,-5844471989.0,-12010708808.0,6166236819.0,6088598158.0
,,,(16.110.457.488),(26.739.130.862),,,-16110457488.0,-26739130862.0,,
Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả thuần,(6.017.245.991),(20.401.539.820),,,-6017245991.0,-20401539820.0,,
Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thuế thu nhập hoãn lại phải trả > Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,,,14.384.293.829,10.416.977.504,,,14384293829.0,10416977504.0
