row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty con,Cung cấp dịch vụ,33.380.799.051,55.401.995.645,,,33380799051.0,55401995645.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Bên liên quan khác,Cung cấp dịch vụ,8.876.921.529,3.742.446.540,,,8876921529.0,3742446540.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,42.257.720.580,59.144.442.185,,,42257720580.0,59144442185.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty Cổ phần Văn Phú B&C,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty con,Tạm ứng hợp đồng tư vấn,-,8.200.000,,,,8200000.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,8.200.000,,,,8200000.0
Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),Phải thu về cho vay (Thuyết minh số 7),,,,
Công ty Cổ phần Đầu tư Grand Home,Phải thu về cho vay (Thuyết minh số 7) > Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Phải thu về cho vay (*),75.600.000.000,52.600.000.000,,,75600000000.0,52600000000.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Phải thu về cho vay (Thuyết minh số 7) > Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Phải thu về cho vay,-,9.000.000.000,,,,9000000000.0
Công ty Cổ phần Union Success Việt Nam,Phải thu về cho vay (Thuyết minh số 7) > Công ty Cổ phần Union Success Việt Nam,Công ty Cổ phần Union Success Việt Nam,Công ty con,Phải thu về cho vay (*),450.000.000.000,-,,,450000000000.0,
TỔNG CỘNG,Phải thu về cho vay (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,525.600.000.000,61.600.000.000,,,525600000000.0,61600000000.0
