row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Tài sản khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.401.123.038,44.957.808.829,23.139.459.091,3.695.591.243,70.432.544.718,636.626.526.919,494401123038.0,44957808829.0,23139459091.0,3695591243.0,70432544718.0,636626526919.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,1.876.499.536,-,164.179.545,240.525.516,2.281.204.597,,1876499536.0,,164179545.0,240525516.0,2281204597.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.401.123.038,46.834.308.365,23.139.459.091,3.859.770.788,70.673.070.234,638.907.731.516,494401123038.0,46834308365.0,23139459091.0,3859770788.0,70673070234.0,638907731516.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,4.980.981.818,3.296.316.294,465.585.465,8.742.883.577,,,4980981818.0,3296316294.0,465585465.0,8742883577.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,33.424.465.367,6.724.352.596,11.093.038.346,3.348.503.376,11.843.179.562,66.433.539.247,33424465367.0,6724352596.0,11093038346.0,3348503376.0,11843179562.0,66433539247.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.050.581.432,3.448.460.789,3.083.360.481,128.373.261,6.521.443.577,24.232.219.540,11050581432.0,3448460789.0,3083360481.0,128373261.0,6521443577.0,24232219540.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,44.475.046.799,10.172.813.385,14.176.398.827,3.476.876.637,18.364.623.139,90.665.758.787,44475046799.0,10172813385.0,14176398827.0,3476876637.0,18364623139.0,90665758787.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,460.976.657.671,38.233.456.233,12.046.420.745,347.087.867,58.589.365.156,570.192.987.672,460976657671.0,38233456233.0,12046420745.0,347087867.0,58589365156.0,570192987672.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,449.926.076.239,36.661.494.980,8.963.060.264,382.894.151,52.308.447.095,548.241.972.729,449926076239.0,36661494980.0,8963060264.0,382894151.0,52308447095.0,548241972729.0
