row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Dịch vụ lưu trú,Các hoạt động khác,Tổng cộng,numeric__Kinh doanh bất động sản,numeric__Dịch vụ lưu trú,numeric__Các hoạt động khác,numeric__Tổng cộng
Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,
Doanh thu thuần,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Doanh thu thuần,Doanh thu thuần,7.279.102.413,173.707.023.247,145.419.610.678,326.405.736.338,7279102413.0,173707023247.0,145419610678.0,326405736338.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,90.074.718.410,30.468.164.945,(44.378.937.645),76.163.945.710,90074718410.0,30468164945.0,-44378937645.0,76163945710.0
Thu nhập không phân bổ (*),Kết quả > Thu nhập không phân bổ (*),Thu nhập không phân bổ (*),,,,519.085.426.400,,,,519085426400.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,595.249.372.110,,,,595249372110.0
Thuế thu nhập doanh nghiệp,Kết quả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,11.856.648.531,,,,11856648531.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,607.106.020.641,,,,607106020641.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,3.245.879.627.120,597.688.263.853,396.985.906.494,4.240.553.797.467,3245879627120.0,597688263853.0,396985906494.0,4240553797467.0
Tải sản không phân bổ (**),Tải sản và công nợ > Tải sản không phân bổ (**),Tải sản không phân bổ (**),,,,4.641.338.977.277,,,,4641338977277.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,,,,8.881.892.774.744,,,,8881892774744.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,690.976.574.399,20.581.789.868,717.499.925.712,1.429.058.289.979,690976574399.0,20581789868.0,717499925712.0,1429058289979.0
Công nợ không phân bổ (***),Tải sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),,,,3.666.209.144.884,,,,3666209144884.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,,,,5.095.267.434.863,,,,5095267434863.0
Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,
