row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngắn hàng(Thuyết minh số 21.1),Vay ngắn hàng(Thuyết minh số 21.1),115.950.082.005,115.950.082.005,135.323.858.207,(115.950.082.005),135.323.858.207,135.323.858.207,115950082005.0,115950082005.0,135323858207.0,-115950082005.0,135323858207.0,135323858207.0
Vay đối tượng khác(Thuyết minh số 21.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 21.3),Vay đối tượng khác(Thuyết minh số 21.3),28.900.000.000,28.900.000.000,-,-,28.900.000.000,28.900.000.000,28900000000.0,28900000000.0,,,28900000000.0,28900000000.0
Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),-,-,402.981.832.373,-,402.981.832.373,402.981.832.373,,,402981832373.0,,402981832373.0,402981832373.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),182.767.657.820,182.767.657.820,688.292.248.410,(182.767.657.820),688.292.248.410,688.292.248.410,182767657820.0,182767657820.0,688292248410.0,-182767657820.0,688292248410.0,688292248410.0
Trái phiếu chuyển đổi đến hạn trả (Thuyết minh số 21.5),Vay ngắn hạn > Trái phiếu chuyển đổi đến hạn trả (Thuyết minh số 21.5),Trái phiếu chuyển đổi đến hạn trả (Thuyết minh số 21.5),-,-,731.140.249.737,-,731.140.249.737,731.140.249.737,,,731140249737.0,,731140249737.0,731140249737.0
Vay ngắn hạn bên liên quan (Thuyết minh số 29),Vay ngắn hạn > Vay ngắn hạn bên liên quan (Thuyết minh số 29),Vay ngắn hạn bên liên quan (Thuyết minh số 29),85.000.000.000,85.000.000.000,-,(85.000.000.000),-,-,85000000000.0,85000000000.0,,-85000000000.0,,
,,,412.617.739.825,412.617.739.825,1.957.738.188.727,(383.717.739.825),1.986.638.188.727,1.986.638.188.727,412617739825.0,412617739825.0,1957738188727.0,-383717739825.0,1986638188727.0,1986638188727.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.2),Vay ngân hàng(Thuyết minh số 21.2),987.551.553.534,987.551.553.534,463.739.512.424,(811.436.435.790),639.854.630.168,639.854.630.168,987551553534.0,987551553534.0,463739512424.0,-811436435790.0,639854630168.0,639854630168.0
Vay đối tượng khác(Thuyết minh số 21.3),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 21.3),Vay đối tượng khác(Thuyết minh số 21.3),550.000.000.000,550.000.000.000,33.950.000.000,-,583.950.000.000,583.950.000.000,550000000000.0,550000000000.0,33950000000.0,,583950000000.0,583950000000.0
Trái phiếu phát hành(Thuyết minh số 21.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 21.4),Trái phiếu phát hành(Thuyết minh số 21.4),664.681.160.455,664.681.160.455,5.334.298.196,(429.081.832.373),240.933.626.278,240.933.626.278,664681160455.0,664681160455.0,5334298196.0,-429081832373.0,240933626278.0,240933626278.0
,,,2.202.232.713.989,2.202.232.713.989,503.023.810.620,(1.240.518.268.163),1.464.738.256.446,1.464.738.256.446,2202232713989.0,2202232713989.0,503023810620.0,-1240518268163.0,1464738256446.0,1464738256446.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.614.850.453.814,2.614.850.453.814,2.460.761.999.347,(1.624.236.007.988),3.451.376.445.173,3.451.376.445.173,2614850453814.0,2614850453814.0,2460761999347.0,-1624236007988.0,3451376445173.0,3451376445173.0
