row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí truyền thông quảng cáo,Ngắn hạn > Chi phí truyền thông quảng cáo,Chi phí truyền thông quảng cáo,414.991.446,9.647.250.379,414991446.0,9647250379.0
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",108.301.444,166.169.927,108301444.0,166169927.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,3.029.217.879,2.716.978.928,3029217879.0,2716978928.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.552.510.769,12.530.399.234,3552510769.0,12530399234.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây (i)","Dài hạn > Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây (i)","Công cụ, dụng cụ phục vụ Dự án Khu dịch vụ căn hộ khách sạn Hồ Tây (i)",51.598.490.592,73.714.254.717,51598490592.0,73714254717.0
Chi phí hoa hồng môi giới,Dài hạn > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,1.303.197.070,662.194.716,1303197070.0,662194716.0
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",942.269.164,1.209.536.127,942269164.0,1209536127.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,5.003.564.947,3.020.811.086,5003564947.0,3020811086.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,58.847.521.773,78.606.796.646,58847521773.0,78606796646.0
