row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Tô Như Toàn,Tên > Ông Tô Như Toàn,Ông Tô Như Toàn,Chủ tịch HĐQT,2.746.886.000,2.662.775.000,,2746886000.0,2662775000.0
Bà Nguyễn Diệu Tú,Tên > Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Phó chủ tịch HĐQT,481.440.001,886.000.002,,481440001.0,886000002.0
Ông Tô Như Thắng,Tên > Ông Tô Như Thắng,Ông Tô Như Thắng,Phó chủ tịch HĐQT từ ngày 28 tháng 07 năm 2023/Phó Tổng Giám đốc đến ngày 04 tháng 01 năm 2023,2.273.000.000,2.019.232.969,,2273000000.0,2019232969.0
Ông Triệu Hữu Đại,Tên > Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Thành viên HĐQT/Tổng giám đốc,1.893.741.380,1.777.828.250,,1893741380.0,1777828250.0
Ông Trịnh Thanh Hải,Tên > Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên HĐQT độc lập/ Chủ tịch Ủy ban Kiểm toán,400.000.000,400.000.000,,400000000.0,400000000.0
Bà Đỗ Thị Thanh Phương,Tên > Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên HĐQT/Phó Chủ tịch Ủy ban Kiểm toán,1.432.501.098,1.334.327.979,,1432501098.0,1334327979.0
Ông Phạm Hồng Châu,Tên > Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Thành viên HĐQT/ Phó Tổng Giám đốc,310.260.000,305.698.000,,310260000.0,305698000.0
Ông Vũ Thanh Tuấn,Tên > Ông Vũ Thanh Tuấn,Ông Vũ Thanh Tuấn,Phó Tổng Giám đốc từ ngày 4 tháng 1 năm 2023,1.763.000.000,-,,1763000000.0,
Ông Lâm Hoàng Đăng,Tên > Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc từ ngày 3 tháng 4 năm 2023,1.358.000.000,-,,1358000000.0,
Bà Nguyễn Thu Hàng,Tên > Bà Nguyễn Thu Hàng,Bà Nguyễn Thu Hàng,Phó Tổng Giám đốc đến ngày 03 tháng 04 năm 2023,501.731.192,1.776.659.124,,501731192.0,1776659124.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,13.160.559.671,11.162.521.324,,13160559671.0,11162521324.0
