row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.717.078.544,11.639.020.820,(22.356.099.364),-,10717078544.0,11639020820.0,-22356099364.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,867.809.034,20.878.624.347,(21.152.217.020),594.216.361,867809034.0,20878624347.0,-21152217020.0,594216361.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,2.527.645.298,(2.004.940.298),522.705.000,,2527645298.0,-2004940298.0,522705000.0
Tiền đầu giá đất,Phải nộp > Tiền đầu giá đất,Tiền đầu giá đất,-,183.100.000.000,(183.100.000.000),-,,183100000000.0,-183100000000.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,2.926.316.564,(2.899.760.382),26.556.182,,2926316564.0,-2899760382.0,26556182.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,11.584.887.578,221.071.607.029,(231.513.017.064),1.143.477.543,11584887578.0,221071607029.0,-231513017064.0,1143477543.0
,,,Số đầu năm,Số phải thu trong năm,Số đã bù trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,4.139.535.688,44.936.753.622,(32.133.395.438),16.942.893.872,4139535688.0,44936753622.0,-32133395438.0,16942893872.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.950.520.398,440.000.000,-,9.390.520.398,8950520398.0,440000000.0,,9390520398.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,13.090.056.086,45.376.753.622,(32.133.395.438),26.333.414.270,13090056086.0,45376753622.0,-32133395438.0,26333414270.0
