row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDĐã phân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDĐã phân loại lại
Tiền điện,Tiền điện,Tiền điện,36.513.158.033,12.727.993.710,36513158033.0,12727993710.0
Chi phí khuyến mại,Chi phí khuyến mại,Chi phí khuyến mại,26.614.711.130,15.807.317.000,26614711130.0,15807317000.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,18.514.828.201,51.571.875.622,18514828201.0,51571875622.0
Chi phí khởi phục môi trường,Chi phí khởi phục môi trường,Chi phí khởi phục môi trường,-,4.417.769.085,,4417769085.0
Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,Phí cấp quyền khai thác khoáng sản,9.085.228.848,28.472.068.231,9085228848.0,28472068231.0
Phí vận chuyển,Phí vận chuyển,Phí vận chuyển,2.864.387.729,5.068.626.033,2864387729.0,5068626033.0
Phí sử dụng thông tin thăm dò địa chất,Phí sử dụng thông tin thăm dò địa chất,Phí sử dụng thông tin thăm dò địa chất,1.402.755.548,7.664.921.510,1402755548.0,7664921510.0
Lương và thường,Lương và thường,Lương và thường,1.972.044.207,1.920.099.724,1972044207.0,1920099724.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,9.789.271.254,24.914.227.681,9789271254.0,24914227681.0
,,,106.756.384.950,152.564.898.596,106756384950.0,152564898596.0
