row_label_raw,row_label_full,col_0,2015VND,2014VNDĐã phân loại lại,numeric__2015VND,numeric__2014VNDĐã phân loại lại
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
Bán hàng,Tổng doanh thu > Bán hàng,Bán hàng,26.807.955.353.574,23.074.882.112.781,26807955353574.0,23074882112781.0
Cung cấp dịch vụ,Tổng doanh thu > Cung cấp dịch vụ,Cung cấp dịch vụ,69.115.386.268,65.408.207.133,69115386268.0,65408207133.0
Doanh thu từ các hợp đồng cho thuê đất khu công nghiệp ghi nhận một lần,Tổng doanh thu > Doanh thu từ các hợp đồng cho thuê đất khu công nghiệp ghi nhận một lần,Doanh thu từ các hợp đồng cho thuê đất khu công nghiệp ghi nhận một lần,441.848.730.354,116.567.379.216,441848730354.0,116567379216.0
Cho thuê bất động sản đầu tư,Tổng doanh thu > Cho thuê bất động sản đầu tư,Cho thuê bất động sản đầu tư,15.968.996.859,2.332.487.033,15968996859.0,2332487033.0
Doanh thu bán bất động sản,Tổng doanh thu > Doanh thu bán bất động sản,Doanh thu bán bất động sản,528.092.180.000,2.565.933.440.000,528092180000.0,2565933440000.0
Doanh thu khác,Tổng doanh thu > Doanh thu khác,Doanh thu khác,1.577.789.909,-,1577789909.0,
,,,27.864.558.436.964,25.825.123.626.163,27864558436964.0,25825123626163.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,(389.925.788.211),(281.303.344.443),-389925788211.0,-281303344443.0
Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,(482.370.302),(236.911.347),-482370302.0,-236911347.0
Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,(21.218.164.118),(18.234.547.660),-21218164118.0,-18234547660.0
,,,(411.626.322.631),(299.774.803.450),-411626322631.0,-299774803450.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,27.452.932.114.333,25.525.348.822.713,27452932114333.0,25525348822713.0
