row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2015,1/1/2015,,,,
,,,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,,,,
1,STT > 1,1,Công ty TNHH Chế tạo Máy xây dựng và Khai thác mỏ Hòa Phát,"Sản xuất, kinh doanh các loại máy xây dựng và khai thác mỏ; sản xuất động cơ, tua bin.",100%,100%,,,1.0,1.0
2,STT > 2,2,Công ty TNHH Chế tạo cơ khí Hòa Phát,"Sửa chữa và sản xuất các sản phẩm cơ khí; dịch vụ cho thuê máy móc, thiết bị, phương tiện.","99,90%","99,90%",,,0.9990000000000001,0.9990000000000001
,,,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,,,,
3,STT > 3,3,Công ty TNHH Thép Cán người Hòa Phát,Sản xuất sản phẩm thép cán người.,100%,100%,,,1.0,1.0
4,STT > 4,4,Công ty TNHH Một thành viên Ông thép Hòa Phát Bình Dương,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,,,1.0,1.0
5,STT > 5,5,Công ty TNHH Sản xuất và Thương mại Chánh Nguyên (iii),"Sản xuất, gia công và kinh doanh các loại thép.",-,"99,86%",,,,0.9986
6,STT > 6,6,Công ty TNHH Ông thép Hòa Phát Đà Nẵng (iii),Sản xuất và kinh doanh thương mại ống thép.,"99,92%","99,92%",,,0.9992,0.9992
7,STT > 7,7,Công ty TNHH Một thành viên Ông thép Hòa Phát Long An (v),Sản xuất và kinh doanh thương mại ống thép.,100%,-,,,1.0,
,,,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,,,,
8,STT > 8,8,Công ty Quản lý Khai thác Khu công nghiệp Phố Nói A,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước và nhà hàng.",100%,100%,,,1.0,1.0
9,STT > 9,9,Công ty TNHH Quản lý Khai thác Khu công nghiệp Hòa Mạc,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước.",100%,100%,,,1.0,1.0
