row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép các loại VND,Kinh doanh máy móc xây dựng VND,Sản xuất đồ nội thất và sản phẩm điện lạnh VND,Bất động sản VND,Năng lượng và thăm dô khai thác khoáng sản VND,Chăn nuôi và sản xuất thức ăn chăn nuôi VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép các loại VND,numeric__Kinh doanh máy móc xây dựng VND,numeric__Sản xuất đồ nội thất và sản phẩm điện lạnh VND,numeric__Bất động sản VND,numeric__Năng lượng và thăm dô khai thác khoáng sản VND,numeric__Chăn nuôi và sản xuất thức ăn chăn nuôi VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,,,,,,,,,
Tài sản của bộ phận,Tại ngày 1 tháng 1 năm 2015 > Tài sản của bộ phận,Tài sản của bộ phận,14.520.467.566.744,277.974.981.094,1.565.977.104.081,2.201.405.228.769,3.944.031.864.617,-,773.760.011.158,(1.198.509.496.109),22.085.107.260.354,14520467566744.0,277974981094.0,1565977104081.0,2201405228769.0,3944031864617.0,,773760011158.0,-1198509496109.0,22085107260354.0
Khoản đầu tư vào các công ty con,Tại ngày 1 tháng 1 năm 2015 > Khoản đầu tư vào các công ty con,Khoản đầu tư vào các công ty con,-,-,-,-,-,-,7.590.768.437.533,(7.590.768.437.533),-,,,,,,,7590768437533.0,-7590768437533.0,
Khoản đầu tư vào công ty liên kết,Tại ngày 1 tháng 1 năm 2015 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,-,-,-,-,5.730.000.000,(1.732.862.551),3.997.137.449,,,,,,,5730000000.0,-1732862551.0,3997137449.0
Tổng tài sản,Tại ngày 1 tháng 1 năm 2015 > Tổng tài sản,Tổng tài sản,14.520.467.566.744,277.974.981.094,1.565.977.104.081,2.201.405.228.769,3.944.031.864.617,-,8.370.258.448.691,(8.791.010.796.193),22.089.104.397.803,14520467566744.0,277974981094.0,1565977104081.0,2201405228769.0,3944031864617.0,,8370258448691.0,-8791010796193.0,22089104397803.0
Nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2015 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,8.264.574.749.070,42.346.408.104,734.977.331.273,666.464.454.925,1.477.971.282.604,-,129.219.019.165,(1.191.788.590.947),10.123.764.654.194,8264574749070.0,42346408104.0,734977331273.0,666464454925.0,1477971282604.0,,129219019165.0,-1191788590947.0,10123764654194.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2015 > Tổng nợ phải trả,Tổng nợ phải trả,8.264.574.749.070,42.346.408.104,734.977.331.273,666.464.454.925,1.477.971.282.604,-,129.219.019.165,(1.191.788.590.947),10.123.764.654.194,8264574749070.0,42346408104.0,734977331273.0,666464454925.0,1477971282604.0,,129219019165.0,-1191788590947.0,10123764654194.0
Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,,,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Chi tiêu vốn,Chi tiêu vốn,717.807.064.200,4.225.356.610,190.402.794.246,8.162.630.836,151.103.407.680,-,15.861.010.537,(2.734.069.659),1.084.828.194.450,717807064200.0,4225356610.0,190402794246.0,8162630836.0,151103407680.0,,15861010537.0,-2734069659.0,1084828194450.0
"Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư",(649.164.573.228),(12.773.724.431),(73.380.455.918),(19.675.463.368),(333.829.947.548),-,(18.584.190.004),6.417.726.338,(1.100.990.628.159),-649164573228.0,-12773724431.0,-73380455918.0,-19675463368.0,-333829947548.0,,-18584190004.0,6417726338.0,-1100990628159.0
