row_label_raw,row_label_full,col_0,2015VND,2014VND,numeric__2015VND,numeric__2014VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,429.472.156.988,133.570.569.419,429472156988.0,133570569419.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,4.522.554.816.392,936.923.818.108,4522554816392.0,936923818108.0
Mua một công ty con cấp 2,Mua một công ty con cấp 2,Mua một công ty con cấp 2,-,1.688.679.995,,1688679995.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(566.996.059.615),(614.905.972.027),-566996059615.0,-614905972027.0
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,-,(5.427.290.909),,-5427290909.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(41.913.545.408),(14.828.352.470),-41913545408.0,-14828352470.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(3.333.681.721),(1.044.634.617),-3333681721.0,-1044634617.0
Thanh lý,Thanh lý,Thanh lý,-,(8.288.758.922),,-8288758922.0
Biến động khác,Biến động khác,Biến động khác,(595.177.751),1.784.098.411,-595177751.0,1784098411.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.339.188.508.885,429.472.156.988,4339188508885.0,429472156988.0
