row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép các loại VND,Kinh doanh máy móc xây dựng VND,Sản xuất đồ nội thất và sản phẩm điện lạnh VND,Bắt động sản VND,Năng lượng và thăm dò khai thác khoáng sản VND,Chăn nuôi và sản xuất thức ăn chăn nuôi VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép các loại VND,numeric__Kinh doanh máy móc xây dựng VND,numeric__Sản xuất đồ nội thất và sản phẩm điện lạnh VND,numeric__Bắt động sản VND,numeric__Năng lượng và thăm dò khai thác khoáng sản VND,numeric__Chăn nuôi và sản xuất thức ăn chăn nuôi VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,,,,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,19.794.972.649.539,254.794.161.843,1.996.280.783.781,2.698.660.955.286,779.129.872.264,-,1.510.400.000,-,25.525.348.822.713,19794972649539.0,254794161843.0,1996280783781.0,2698660955286.0,779129872264.0,,1510400000.0,,25525348822713.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,9.877.775.346.029,57.002.130.942,62.528.351.752,77.264.639.706,3.686.521.135.577,-,27.932.356.667,(13.789.023.960.673),-,9877775346029.0,57002130942.0,62528351752.0,77264639706.0,3686521135577.0,,27932356667.0,-13789023960673.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,29.672.747.995.568,311.796.292.785,2.058.809.135.533,2.775.925.594.992,4.465.651.007.841,-,29.442.756.667,(13.789.023.960.673),25.525.348.822.713,29672747995568.0,311796292785.0,2058809135533.0,2775925594992.0,4465651007841.0,,29442756667.0,-13789023960673.0,25525348822713.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,2.148.932.445.066,50.096.699.438,339.422.252.347,980.573.580.565,382.925.818.097,-,1.179.329.971.664,(1.271.298.326.400),3.809.982.440.777,2148932445066.0,50096699438.0,339422252347.0,980573580565.0,382925818097.0,,1179329971664.0,-1271298326400.0,3809982440777.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Thu nhập khác,Thu nhập khác,214.958.420.055,6.772.708.115,30.241.716.842,18.111.350.685,46.856.503.893,-,17.087.860.027,(76.301.244.870),257.727.314.747,214958420055.0,6772708115.0,30241716842.0,18111350685.0,46856503893.0,,17087860027.0,-76301244870.0,257727314747.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Chi phí khác,Chi phí khác,(211.702.256.725),(5.480.646.397),(49.184.282.186),(17.312.052.149),(63.485.418.698),-,(1.814.692.743),50.790.321.806,(298.189.027.092),-211702256725.0,-5480646397.0,-49184282186.0,-17312052149.0,-63485418698.0,,-1814692743.0,50790321806.0,-298189027092.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(162.313.785.534),(11.380.750.364),(66.605.181.861),(220.750.201.606),(49.997.642.627),-,(6.068.773.819),-,(517.116.335.811),-162313785534.0,-11380750364.0,-66605181861.0,-220750201606.0,-49997642627.0,,-6068773819.0,,-517116335811.0
Lợi ích/(chi phí) thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,3.694.053.830,475.965.441,(631.972.329),(568.878.426),184.559.431,-,-,(5.343.530.364),(2.189.802.417),3694053830.0,475965441.0,-631972329.0,-568878426.0,184559431.0,,,-5343530364.0,-2189802417.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,1.993.568.876.692,40.483.976.233,253.242.532.813,760.053.799.069,316.483.820.096,-,1.188.534.365.129,(1.302.152.779.828),3.250.214.590.204,1993568876692.0,40483976233.0,253242532813.0,760053799069.0,316483820096.0,,1188534365129.0,-1302152779828.0,3250214590204.0
