row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ dự phòng tài chính VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,4.190.525.330.000,2.207.350.817.068,-,459.080.197.478,-,2.643.370.909.871,86.632.765.142,9.586.960.019.559,4190525330000.0,2207350817068.0,,459080197478.0,,2643370909871.0,86632765142.0,9586960019559.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,475.000.000,475.000.000,,,,,,,475000000.0,475000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.144.252.845.971,105.961.744.233,3.250.214.590.204,,,,,,3144252845971.0,105961744233.0,3250214590204.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,628.556.420.000,-,-,-,-,(628.556.420.000),-,-,628556420000.0,,,,,-628556420000.0,,
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,(628.578.799.500),(24.307.934.325),(652.886.733.825),,,,,,-628578799500.0,-24307934325.0,-652886733825.0
Phân bổ vào quỹ dự phòng tải chính,Phân bổ vào quỹ dự phòng tải chính,Phân bổ vào quỹ dự phòng tải chính,-,-,-,215.703.435.443,-,(215.703.435.443),-,-,,,,215703435443.0,,-215703435443.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(219.220.272.122),-,(219.220.272.122),,,,,,-219220272122.0,,-219220272122.0
Thủ lao thành viên Ban Kiểm soát và Hội đồng Quản trị,Thủ lao thành viên Ban Kiểm soát và Hội đồng Quản trị,Thủ lao thành viên Ban Kiểm soát và Hội đồng Quản trị,-,-,-,-,-,(50.000.000),-,(50.000.000),,,,,,-50000000.0,,-50000000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(747.002.410),594.142.203,(152.860.207),,,,,,-747002410.0,594142203.0,-152860207.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,4.819.081.750.000,2.207.350.817.068,-,674.783.632.921,-,4.094.767.826.367,169.355.717.253,11.965.339.743.609,4819081750000.0,2207350817068.0,,674783632921.0,,4094767826367.0,169355717253.0,11965339743609.0
