row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2015,1/1/2015,,,,
,,,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,Công ty con của Công ty CP Golden Gain Việt Nam,,,,
10,STT > 10,10,Công ty CP Đầu tư và Dịch vụ Hà Nội,"Hoạt động thể thao, giải trí, tennis, cầu lông, bida, boi, thể dục thể hình, games, bất động sản.","94,96%","94,96%",,,0.9495999999999999,0.9495999999999999
11,STT > 11,11,Công ty CP Vận tải và Dịch vụ Thương mại Hà Nội,"Vận tải hàng hóa bằng ô tô, vận tải khách liên tinh bằng ô tô, sửa chữa máy móc, thiết bị, dịch vụ lữ hành nội địa, đại lý kinh doanh xăng dầu, dịch vụ đại lý vận tải và dịch vụ trông giữ xe ô tô, văn phòng, kho bãi và bất động sản.","99,57%","99,57%",,,0.9956999999999999,0.9956999999999999
,,,Công ty con của Công ty TNHH Một thành viên Thép Hòa Phát,Công ty con của Công ty TNHH Một thành viên Thép Hòa Phát,Công ty con của Công ty TNHH Một thành viên Thép Hòa Phát,Công ty con của Công ty TNHH Một thành viên Thép Hòa Phát,,,,
12,STT > 12,12,Công ty TNHH Một thành viên Hòa Phát Bình Định,"Sản xuất sắt, thép, gang; bán buôn kim loại và quặng kim loại.",100%,100%,,,1.0,1.0
,,,Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty CP Khoáng sản Hòa Phát”),Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty CP Khoáng sản Hòa Phát”),Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty CP Khoáng sản Hòa Phát”),Công ty con của Công ty CP Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty CP Khoáng sản Hòa Phát”),,,,
13,STT > 13,13,Công ty CP Khoáng sản Hòa Yên (iv),"Khai thác và sản xuất quặng sắt, bổ xít và các kim loại quý hiểm; bán buôn kim loại và quặng kim loại và bán buôn máy móc.",-,"99,77%",,,,0.9976999999999999
14,STT > 14,14,Công ty CP Khoáng sản Đức Long (iv),"Khai thác và sản xuất quặng sắt, bổ xít và các kim loại quý hiểm; bán buôn kim loại và quặng kim loại.",-,"99,98%",,,,0.9998
15,STT > 15,15,Công ty CP Khoáng sản Hòa Phát Mitraco (ii),"Khai thác và sản xuất quặng sắt, bổ xít và các kim loại quý hiểm; bán buôn kim loại và quặng kim loại.",-,"98,42%",,,,0.9842
16,STT > 16,16,Công ty TNHH MTV Chăn nuôi Hòa Phát Ninh Bình (v),"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,-,,,1.0,
17,STT > 17,17,Công ty TNHH MTV Chăn nuôi Hòa Phát Lạc Thủy (v),"Chăn nuôi lợn, chăn nuôi gia cầm, chăn nuôi khác.",100%,-,,,1.0,
