row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,1/1/2015(phân loại lại)VND > 506.641.791.271,1/1/2015(theo báo cáotrước đây)VND > -,numeric__1/1/2015(phân loại lại)VND > 506.641.791.271,numeric__1/1/2015(theo báo cáotrước đây)VND > -
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,-,506.641.791.271,,506641791271.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,58.735.140.556,55.961.139.232,58735140556.0,55961139232.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,688.312.164,-,688312164.0,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,3.462.313.488,,3462313488.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,9.225.561.499,-,9225561499.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,9.225.561.499,,9225561499.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,57.187.691.074,,57187691074.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,15.702.128.365,-,15702128365.0,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,41.485.562.709,-,41485562709.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,152.564.898.596,204.745.212.904,152564898596.0,204745212904.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,50.447.538.919,-,50447538919.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,104.236.479.283,134.165.173.120,104236479283.0,134165173120.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,31.661.469.226,-,31661469226.0,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,674.783.632.921,,674783632921.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,674.783.632.921,-,674783632921.0,
