row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,11.915.177.133.485,11.745.859.365.753,100.0,,11915177133485.0,11745859365753.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,2.372.761.840.865,2.026.280.467.705,110.0,6.0,2372761840865.0,2026280467705.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,349.396.206.420,491.949.294.021,111.0,,349396206420.0,491949294021.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,2.023.365.634.445,1.534.331.173.684,112.0,,2023365634445.0,1534331173684.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,758.094.875.121,506.641.791.271,120.0,,758094875121.0,506641791271.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,7.1,758.094.875.121,506.641.791.271,123.0,71.0,758094875121.0,506641791271.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.608.216.522.801,1.723.031.959.315,130.0,,1608216522801.0,1723031959315.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,,1.210.987.095.176,1.247.341.501.375,131.0,,1210987095176.0,1247341501375.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,390.265.827.195,457.068.881.547,132.0,,390265827195.0,457068881547.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,47.234.353.011,58.735.140.556,136.0,8.0,47234353011.0,58735140556.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(41.276.739.619),(40.801.876.327),137.0,,-41276739619.0,-40801876327.0
Tài sản thiếu chờ xử lý,TÀI SẢN > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,1.005.987.038,688.312.164,139.0,,1005987038.0,688312164.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,9,6.937.441.787.064,7.386.389.048.165,140.0,9.0,6937441787064.0,7386389048165.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,7.208.055.393.649,7.601.110.304.518,141.0,,7208055393649.0,7601110304518.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(270.613.606.585),(214.721.256.353),149.0,,-270613606585.0,-214721256353.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,238.662.107.634,103.516.099.297,150.0,,238662107634.0,103516099297.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,18.548.607.805,10.020.994.351,151.0,,18548607805.0,10020994351.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,212.136.927.444,80.592.280.678,152.0,,212136927444.0,80592280678.0
Thuế và các khoản khác phải thu Ngân sách Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Ngân sách Nhà nước,Thuế và các khoản khác phải thu Ngân sách Nhà nước,153,17.1,7.976.572.385,12.902.824.268,153.0,171.0,7976572385.0,12902824268.0
