row_label_raw,row_label_full,col_0,Chi phí bảo hành VND,Dự phòng khởi phục môi trường VND,Tổng VND,numeric__Chi phí bảo hành VND,numeric__Dự phòng khởi phục môi trường VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,17.171.173.699,-,17.171.173.699,17171173699.0,,17171173699.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.546.483.838,8.762.096.454,10.308.580.292,1546483838.0,8762096454.0,10308580292.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(1.371.444.099),-,(1.371.444.099),-1371444099.0,,-1371444099.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,17.346.213.438,8.762.096.454,26.108.309.892,17346213438.0,8762096454.0,26108309892.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,9.745.648.320,-,9.745.648.320,9745648320.0,,9745648320.0
Dải hạn,Dải hạn,Dải hạn,7.600.565.118,8.762.096.454,16.362.661.572,7600565118.0,8762096454.0,16362661572.0
