row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,206.165.825.242,3.102.746.855,1.367.576.332,210.636.148.429,206165825242.0,3102746855.0,1367576332.0,210636148429.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,871.000.000,-,871.000.000,,871000000.0,,871000000.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(9.514.160.400),-,-,(9.514.160.400),-9514160400.0,,,-9514160400.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(8.562.908.770),(181.000.000),-,(8.743.908.770),-8562908770.0,-181000000.0,,-8743908770.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(133.333.332),133.333.332,-,,-133333332.0,133333332.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,188.088.756.072,3.659.413.523,1.500.909.664,193.249.079.259,188088756072.0,3659413523.0,1500909664.0,193249079259.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.748.438.777,2.494.048.958,1.228.118.622,30.470.606.357,26748438777.0,2494048958.0,1228118622.0,30470606357.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.785.984.005,640.456.979,139.457.710,4.565.898.694,3785984005.0,640456979.0,139457710.0,4565898694.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(1.271.623.804),-,-,(1.271.623.804),-1271623804.0,,,-1271623804.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(4.295.140.354),(181.000.000),-,(4.476.140.354),-4295140354.0,-181000000.0,,-4476140354.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(133.333.332),133.333.332,-,,-133333332.0,133333332.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.967.658.624,2.820.172.605,1.500.909.664,29.288.740.893,24967658624.0,2820172605.0,1500909664.0,29288740893.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,179.417.386.465,608.697.897,139.457.710,180.165.542.072,179417386465.0,608697897.0,139457710.0,180165542072.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,163.121.097.448,839.240.918,-,163.960.338.366,163121097448.0,839240918.0,,163960338366.0
