row_label_raw,row_label_full,col_0,Nhà cửa VND,Dụng cụ văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa VND,numeric__Dụng cụ văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.711.443.950.184,27.118.590.001,9.327.202.464.709,364.746.977.295,594.442.662,12.431.106.424.851,2711443950184.0,27118590001.0,9327202464709.0,364746977295.0,594442662.0,12431106424851.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,67.634.725.307,3.010.677.458,77.190.370.092,101.874.563.548,-,249.710.336.405,67634725307.0,3010677458.0,77190370092.0,101874563548.0,,249710336405.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,222.472.449.808,-,319.110.396.315,25.413.213.492,-,566.996.059.615,222472449808.0,,319110396315.0,25413213492.0,,566996059615.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(56.118.193.470),(196.880.325),(122.050.147.865),(31.300.807.218),-,(209.666.028.878),-56118193470.0,-196880325.0,-122050147865.0,-31300807218.0,,-209666028878.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,16.091.299.667,(45.454.545),(1.353.398.218),425.000.000,1.776.541.200,16.893.988.104,16091299667.0,-45454545.0,-1353398218.0,425000000.0,1776541200.0,16893988104.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.961.524.231.496,29.886.932.589,9.600.099.685.033,461.158.947.117,2.370.983.862,13.055.040.780.097,2961524231496.0,29886932589.0,9600099685033.0,461158947117.0,2370983862.0,13055040780097.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,681.540.983.352,16.690.474.881,3.016.000.272.135,167.793.334.048,594.442.662,3.882.619.507.078,681540983352.0,16690474881.0,3016000272135.0,167793334048.0,594442662.0,3882619507078.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,293.717.968.503,3.684.315.098,910.890.641.531,55.207.555.996,196.510.624,1.263.696.991.752,293717968503.0,3684315098.0,910890641531.0,55207555996.0,196510624.0,1263696991752.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(41.052.339.874),(172.633.311),(78.817.905.999),(21.861.487.704),-,(141.904.366.888),-41052339874.0,-172633311.0,-78817905999.0,-21861487704.0,,-141904366888.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(1.027.046.575),21.358.413,4.110.585.697,53.641.587,-,3.158.539.122,-1027046575.0,21358413.0,4110585697.0,53641587.0,,3158539122.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,933.179.565.406,20.223.515.081,3.852.183.593.364,201.193.043.927,790.953.286,5.007.570.671.064,933179565406.0,20223515081.0,3852183593364.0,201193043927.0,790953286.0,5007570671064.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.029.902.966.832,10.428.115.120,6.311.202.192.574,196.953.643.247,-,8.548.486.917.773,2029902966832.0,10428115120.0,6311202192574.0,196953643247.0,,8548486917773.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.028.344.666.090,9.663.417.508,5.747.916.091.669,259.965.903.190,1.580.030.576,8.047.470.109.033,2028344666090.0,9663417508.0,5747916091669.0,259965903190.0,1580030576.0,8047470109033.0
