row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết gián tiếp của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2015,1/1/2015,,,,
26,STT > 26,26,Công ty TNHH MTV Chăn nuôi Việt Hùng (v),"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",100%,-,,,1.0,
27,STT > 27,27,Công ty TNHH MTV Chăn nuôi Đồng Phát (v),"Chăn nuôi gia súc, gia cầm; hoạt động dịch vụ trồng trọt.",100%,-,,,1.0,
STT,STT,STT,Công ty liên kết,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,,,,
STT,STT,STT,Công ty liên kết,Hoạt động chính,31/12/2015,1/1/2015,,,,
1,STT > 1,1,Công ty CP Khai khoáng Hòa Phát – SSG,"Khai thác và thu gom than non; khai thác quặng sắt không chứa sắt; hoạt động dịch vụ hỗ trợ khai thác mỏ và quặng khác; và sản xuất than cốc, với, thạch cao.",38%,38%,,,0.38,0.38
(i),(i),(i),Đây là công ty con được thành lập trong năm.,Đây là công ty con được thành lập trong năm.,Đây là công ty con được thành lập trong năm.,Đây là công ty con được thành lập trong năm.,,,,
(ii),(ii),(ii),Đây là công ty con cấp 2 được chuyển nhượng lại cho Công ty mẹ trong năm.,Đây là công ty con cấp 2 được chuyển nhượng lại cho Công ty mẹ trong năm.,Đây là công ty con cấp 2 được chuyển nhượng lại cho Công ty mẹ trong năm.,Đây là công ty con cấp 2 được chuyển nhượng lại cho Công ty mẹ trong năm.,,,,
(iii),(iii),(iii),"Trong năm, Công ty TNHH Sản xuất và Thương mại Chánh Nguyên được sáp nhập vào Công ty TNHH Ông thép Hòa Phát Đà Nẵng.","Trong năm, Công ty TNHH Sản xuất và Thương mại Chánh Nguyên được sáp nhập vào Công ty TNHH Ông thép Hòa Phát Đà Nẵng.","Trong năm, Công ty TNHH Sản xuất và Thương mại Chánh Nguyên được sáp nhập vào Công ty TNHH Ông thép Hòa Phát Đà Nẵng.","Trong năm, Công ty TNHH Sản xuất và Thương mại Chánh Nguyên được sáp nhập vào Công ty TNHH Ông thép Hòa Phát Đà Nẵng.",,,,
(iv),(iv),(iv),Đây là hai công con cấp 2 được Công ty CP Khoáng sản Hòa Phát chuyển nhượng cho Công ty CP Thép Hòa Phát trong năm.,Đây là hai công con cấp 2 được Công ty CP Khoáng sản Hòa Phát chuyển nhượng cho Công ty CP Thép Hòa Phát trong năm.,Đây là hai công con cấp 2 được Công ty CP Khoáng sản Hòa Phát chuyển nhượng cho Công ty CP Thép Hòa Phát trong năm.,Đây là hai công con cấp 2 được Công ty CP Khoáng sản Hòa Phát chuyển nhượng cho Công ty CP Thép Hòa Phát trong năm.,,,,
(v),(v),(v),Đây là các công ty con cấp 2 được thành lập trong năm.,Đây là các công ty con cấp 2 được thành lập trong năm.,Đây là các công ty con cấp 2 được thành lập trong năm.,Đây là các công ty con cấp 2 được thành lập trong năm.,,,,
Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,Các công ty con và công ty liên kết của Công ty đều được thành lập tại Việt Nam.,,,,
"Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).","Tại ngày 31 tháng 12 năm 2015, Tập đoàn có 11.757 nhân viên (1/1/2015: 10.565 nhân viên).",,,,
