row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),200,,13.591.592.052.060,10.343.245.032.050,200.0,,13591592052060.0,10343245032050.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,16.485.258.954,9.225.561.499,210.0,,16485258954.0,9225561499.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,5.000.000.000,-,215.0,,5000000000.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,11.485.258.954,9.225.561.499,216.0,,11485258954.0,9225561499.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,8.211.430.447.399,8.728.652.459.845,220.0,,8211430447399.0,8728652459845.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,10,8.047.470.109.033,8.548.486.917.773,221.0,10.0,8047470109033.0,8548486917773.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,13.055.040.780.097,12.431.106.424.851,222.0,,13055040780097.0,12431106424851.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(5.007.570.671.064),(3.882.619.507.078),223.0,,-5007570671064.0,-3882619507078.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,11,163.960.338.366,180.165.542.072,227.0,11.0,163960338366.0,180165542072.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,193.249.079.259,210.636.148.429,228.0,,193249079259.0,210636148429.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(29.288.740.893),(30.470.606.357),229.0,,-29288740893.0,-30470606357.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,12,192.494.292.820,197.343.763.931,230.0,12.0,192494292820.0,197343763931.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,236.450.059.552,232.446.624.627,231.0,,236450059552.0,232446624627.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(43.955.766.732),(35.102.860.696),232.0,,-43955766732.0,-35102860696.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,4.342.159.437.952,429.472.156.988,240.0,,4342159437952.0,429472156988.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,2.970.929.067,-,241.0,,2970929067.0,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,13,4.339.188.508.885,429.472.156.988,242.0,13.0,4339188508885.0,429472156988.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,102.545.479.270,61.184.828.523,250.0,,102545479270.0,61184828523.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,252,7.2,3.806.335.925,3.997.137.449,252.0,72.0,3806335925.0,3997137449.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,7.2,15.702.128.365,15.702.128.365,253.0,72.0,15702128365.0,15702128365.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,255,7.1,83.037.014.980,41.485.562.709,255.0,71.0,83037014980.0,41485562709.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,726.477.135.665,917.366.261.264,260.0,,726477135665.0,917366261264.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,14,551.682.828.680,483.218.729.903,261.0,14.0,551682828680.0,483218729903.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,15,83.703.031.782,52.065.448.874,262.0,15.0,83703031782.0,52065448874.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,16,91.091.275.203,382.082.082.487,269.0,16.0,91091275203.0,382082082487.0
TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),270,,25.506.769.185.545,22.089.104.397.803,270.0,,25506769185545.0,22089104397803.0
