row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDĐã phân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDĐã phân loại lại
Phải trả Công ty TNHH RHI Retractories,Phải trả Công ty TNHH RHI Retractories,Phải trả Công ty TNHH RHI Retractories,Phải trả Công ty TNHH RHI Retractories,Phải trả Công ty TNHH RHI Retractories,,
Asia-Pacific PTE,Phải trả Công ty TNHH RHI Retractories > Asia-Pacific PTE,Asia-Pacific PTE,7.384.565.916,12.433.066.383,7384565916.0,12433066383.0
Chi phí lãi vay,Phải trả Công ty TNHH RHI Retractories > Chi phí lãi vay,Chi phí lãi vay,106.154.801,18.844.445,106154801.0,18844445.0
Phải trả Công ty CP Golden Gain Enterprises,Phải trả Công ty TNHH RHI Retractories > Phải trả Công ty CP Golden Gain Enterprises,Phải trả Công ty CP Golden Gain Enterprises,3.756.425.917,3.756.425.917,3756425917.0,3756425917.0
Cổ tức phải trả,Phải trả Công ty TNHH RHI Retractories > Cổ tức phải trả,Cổ tức phải trả,1.549.770.000,1.515.919.000,1549770000.0,1515919000.0
"Nhận ký quỹ, ký cược ngắn hạn","Phải trả Công ty TNHH RHI Retractories > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",2.406.910.000,24.350.261.964,2406910000.0,24350261964.0
Chiết khấu thương mại,Phải trả Công ty TNHH RHI Retractories > Chiết khấu thương mại,Chiết khấu thương mại,41.960.588.602,39.760.742.486,41960588602.0,39760742486.0
"Kinh phí công đoàn, báo hiểm xã hội và bảo hiểm y tế","Phải trả Công ty TNHH RHI Retractories > Kinh phí công đoàn, báo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, báo hiểm xã hội và bảo hiểm y tế",8.788.887.474,5.364.206.004,8788887474.0,5364206004.0
Hàng mượn,Phải trả Công ty TNHH RHI Retractories > Hàng mượn,Hàng mượn,2.728.208.404,1.452.873.856,2728208404.0,1452873856.0
Tài sản thừa chờ xử lý,Phải trả Công ty TNHH RHI Retractories > Tài sản thừa chờ xử lý,Tài sản thừa chờ xử lý,497.821.990,821.177.009,497821990.0,821177009.0
Chi phí bảo lãnh,Phải trả Công ty TNHH RHI Retractories > Chi phí bảo lãnh,Chi phí bảo lãnh,1.275.960.726,1.732.775.389,1275960726.0,1732775389.0
Các khoản phải trả khác,Phải trả Công ty TNHH RHI Retractories > Các khoản phải trả khác,Các khoản phải trả khác,25.421.429.657,13.030.186.830,25421429657.0,13030186830.0
,,,95.876.723.487,104.236.479.283,95876723487.0,104236479283.0
