row_label_raw,row_label_full,Ngân hàng Đầu tư và Phát triển Việt Nam (a) > Ngân hàng ANZ,Loại tiền > VND > USD,"Lãi suất năm(%) > 8 > 4,5 - 4,73",Nămđáo hạn > 2021 > 2016,31/12/2015VND > 289.000.000.000 > -,1/1/2015VND > 577.072.326.185 > 14.431.078.231,numeric__Loại tiền > VND > USD,"numeric__Lãi suất năm(%) > 8 > 4,5 - 4,73",numeric__Nămđáo hạn > 2021 > 2016,numeric__31/12/2015VND > 289.000.000.000 > -,numeric__1/1/2015VND > 577.072.326.185 > 14.431.078.231
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,,,,,
Công thương Việt Nam,Ngân hàng TMCP > Công thương Việt Nam,Công thương Việt Nam,VND,"10 - 11,5",2017,-,40.905.209.800,,,2017.0,,40905209800.0
Vay từ cá nhân (b),Ngân hàng TMCP > Vay từ cá nhân (b),Vay từ cá nhân (b),VND,"9 - 12,6",2017,600.000.000.000,600.000.000.000,,,2017.0,600000000000.0,600000000000.0
,,,,,,889.000.000.000,1.232.408.614.216,,,,889000000000.0,1232408614216.0
