row_label_raw,row_label_full,col_0,2014(phân loại Lại)VND,2014(theo báo cáotrước đây)VND,numeric__2014(phân loại Lại)VND,numeric__2014(theo báo cáotrước đây)VND
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,1.109.518.432.670,1.106.005.660.313,1109518432670.0,1106005660313.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,(2.118.863.441.613),(2.199.063.441.613),-2118863441613.0,-2199063441613.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,(109.105.066.932),(105.592.294.575),-109105066932.0,-105592294575.0
"Tiền chi mua, xây dựng tài sản cố định và tài sảndài hạn khác","Tiền chi mua, xây dựng tài sản cố định và tài sảndài hạn khác","Tiền chi mua, xây dựng tài sản cố định và tài sảndài hạn khác",(1.165.028.194.450),(1.084.828.194.450),-1165028194450.0,-1084828194450.0
