row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép các loại VND,Kinh doanh máy móc xây dựng VND,Sản xuất đồ nội thất và sản phẩm điện lạnh VND,Bắt động sản VND,Năng lượng và thảm đỏ khai thác khoáng sản VND,Chăn nuôi và sản xuất thức ăn chăn nuôi VND,Dầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép các loại VND,numeric__Kinh doanh máy móc xây dựng VND,numeric__Sản xuất đồ nội thất và sản phẩm điện lạnh VND,numeric__Bắt động sản VND,numeric__Năng lượng và thảm đỏ khai thác khoáng sản VND,numeric__Chăn nuôi và sản xuất thức ăn chăn nuôi VND,numeric__Dầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2015 > Tải sản của bộ phận,Tải sản của bộ phận,16.942.015.286.439,274.973.018.487,1.635.345.709.419,1.910.699.885.605,3.852.422.923.146,965.948.963.815,1.090.838.321.365,(1.169.281.258.656),25.502.962.849.620,16942015286439.0,274973018487.0,1635345709419.0,1910699885605.0,3852422923146.0,965948963815.0,1090838321365.0,-1169281258656.0,25502962849620.0
Khoản đầu tư vào các công ty con,Tại ngày 31 tháng 12 năm 2015 > Khoản đầu tư vào các công ty con,Khoản đầu tư vào các công ty con,,-,-,-,-,-,8.534.660.542.633,(8.534.660.542.633),-,,,,,,,8534660542633.0,-8534660542633.0,
Khoản đầu tư vào công ty liên kết,Tại ngày 31 tháng 12 năm 2015 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,,-,-,-,-,-,5.730.000.000,(1.923.664.075),3.806.335.925,,,,,,,5730000000.0,-1923664075.0,3806335925.0
Tổng tải sản,Tại ngày 31 tháng 12 năm 2015 > Tổng tải sản,Tổng tải sản,16.942.015.286.439,274.973.018.487,1.635.345.709.419,1.910.699.885.605,3.852.422.923.146,965.948.963.815,9.631.228.863.998,(9.705.865.465.364),25.506.769.185.545,16942015286439.0,274973018487.0,1635345709419.0,1910699885605.0,3852422923146.0,965948963815.0,9631228863998.0,-9705865465364.0,25506769185545.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2015 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,8.474.202.029.018,60.328.785.218,698.257.804.461,505.658.442.121,1.431.441.295.248,647.341.216.503,210.778.630.594,(987.949.402.928),11.040.058.800.235,8474202029018.0,60328785218.0,698257804461.0,505658442121.0,1431441295248.0,647341216503.0,210778630594.0,-987949402928.0,11040058800235.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2015 > Tổng nợ phải trả,Tổng nợ phải trả,8.474.202.029.018,60.328.785.218,698.257.804.461,505.658.442.121,1.431.441.295.248,647.341.216.503,210.778.630.594,(987.949.402.928),11.040.058.800.235,8474202029018.0,60328785218.0,698257804461.0,505658442121.0,1431441295248.0,647341216503.0,210778630594.0,-987949402928.0,11040058800235.0
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi tiêu vốn,Chi tiêu vốn,4.169.816.870.396,2.019.315.510,288.977.165.974,34.436.905.457,160.922.130.892,155.975.426.454,7.530.894.984,(42.539.121.945),4.777.139.587.722,4169816870396.0,2019315510.0,288977165974.0,34436905457.0,160922130892.0,155975426454.0,7530894984.0,-42539121945.0,4777139587722.0
"Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư","Khẩu hao tài sản cố định hữu hình, tài sản thuê tài chính và bất động sản đầu tư",(749.106.805.612),(12.568.394.613),(98.900.558.576),(20.680.938.255),(377.567.935.375),(802.108.154),(5.839.205.480),(7.083.951.723),(1.272.549.897.788),-749106805612.0,-12568394613.0,-98900558576.0,-20680938255.0,-377567935375.0,-802108154.0,-5839205480.0,-7083951723.0,-1272549897788.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,(1.707.933.850),(670.100.207),(2.099.460.161),-,(83.994.020),-,(314.023.524),309.613.068,(4.565.898.694),-1707933850.0,-670100207.0,-2099460161.0,,-83994020.0,,-314023524.0,309613068.0,-4565898694.0
Phân bổ chi phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,(192.078.749.853),(5.071.263.652),(18.733.206.131),(169.741.013),(15.531.164.179),(1.284.900.900),(6.194.124.814),517.659.929,(238.545.490.613),-192078749853.0,-5071263652.0,-18733206131.0,-169741013.0,-15531164179.0,-1284900900.0,-6194124814.0,517659929.0,-238545490613.0
