row_label_raw,row_label_full,STT,Công ty con cấp 1,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1,numeric__Công ty con cấp 1,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,numeric__Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn_1
STT,STT,STT,Công ty con cấp 1,Hoạt động chính,31/12/2015,1/1/2015,,,,
1,STT > 1,1,Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Sản xuất thiết bị xây dựng; kinh doanh thương mại máy móc và thiết bị xây dựng và khai thác khoáng sản loại nhỏ và vừa.,"99,72%","99,72%",,,0.9972,0.9972
2,STT > 2,2,Công ty CP Nội thất Hòa Phát,Sản xuất và kinh doanh thương mại các sản phẩm nội thất.,"99,60%","99,60%",,,0.996,0.996
3,STT > 3,3,Công ty TNHH Ông thép Hòa Phát,Sản xuất và kinh doanh thương mại ống thép.,"99,91%","99,91%",,,0.9991,0.9991
4,STT > 4,4,Công ty TNHH Điện lạnh Hòa Phát,Sản xuất và kinh doanh thương mại sản phẩm điện lạnh.,"99,67%","99,67%",,,0.9967,0.9967
5,STT > 5,5,Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,"Xây dựng dân dụng; xây dựng công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà, văn phòng; đầu tư và xây đồng bộ hạ tầng kỹ thuật.","99,67%","99,67%",,,0.9967,0.9967
6,STT > 6,6,Công ty TNHH Thương mại Hòa Phát,"Buôn bán và xuất nhập khẩu sắt thép các loại, vật liệu xây dựng, đồ nội thất, máy điều hòa, máy giặt, tủ lạnh.","99,83%","99,00%",,,0.9983,0.99
7,STT > 7,7,Công ty CP Thép Hòa Phát,"Sản xuất thép, gang, khai thác quặng sắt, khai thác và thu gom than non; bán buôn kim loại và quặng kim loại; và sản xuất, mua bán than cốc.","99,99%","99,99%",,,0.9998999999999999,0.9998999999999999
8,STT > 8,8,Công ty CP Đầu tư Khoáng sản An Thông,"Thăm dò, khai thác, tuyển luyện, chế biến, xuất nhập khẩu khoáng sản nói chung trong đó chủ yếu là quặng sắt.","99,96%","99,96%",,,0.9995999999999999,0.9995999999999999
9,STT > 9,9,Công ty CP Golden Gain Việt Nam,Kinh doanh bất động sản.,"99,94%","84,95%",,,0.9994,0.8495
10,STT > 10,10,Công ty CP Năng lượng Hòa Phát,"Sản xuất và bán buôn than cốc, khai thác và thu gom than cứng; sản xuất sản phẩm dầu mỏ tinh chế; bán buôn kim loại và quặng kim loại; và buôn bán than luyện cốc và than các loại.","99,89%","99,89%",,,0.9989,0.9989
11,STT > 11,11,Công ty TNHH Một thành viên Thép Hòa Phát,"Sản xuất sắt, thép, gang; bán buôn kim loại và quặng kim loại.",100%,100%,,,1.0,1.0
