row_label_raw,row_label_full,col_0,Công ty CP Đầu tư Khoáng sản An Thông (*) VND,Công ty CP Năng lượng Hòa Phát VND,Công ty Cổ phần Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty Khoáng sản Hòa Phát”) (*) VND,Công ty CP Đầu tư và Dịch vụ Hà Nội (*) VND,Công ty CP Vận tải và Dịch vụ Thương mại Hà Nội (*) VND,Công ty TNHH Sản xuất và Thương mại Chánh Nguyên VND,Tổng VND,numeric__Công ty CP Đầu tư Khoáng sản An Thông (*) VND,numeric__Công ty CP Năng lượng Hòa Phát VND,numeric__Công ty Cổ phần Phát triển Chăn nuôi Hòa Phát (trước đây là “Công ty Khoáng sản Hòa Phát”) (*) VND,numeric__Công ty CP Đầu tư và Dịch vụ Hà Nội (*) VND,numeric__Công ty CP Vận tải và Dịch vụ Thương mại Hà Nội (*) VND,numeric__Công ty TNHH Sản xuất và Thương mại Chánh Nguyên VND,numeric__Tổng VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,,,,
Số dư đầu năm và cuối năm,Giá gốc > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,350.232.527.609,206.244.396.684,34.014.618.203,74.526.572.949,89.496.114.296,54.111.943.050,808.626.172.791,350232527609.0,206244396684.0,34014618203.0,74526572949.0,89496114296.0,54111943050.0,808626172791.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,,,,,,,
Số dư đầu năm,Giá trị phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,195.546.494.581,94.528.681.812,12.296.684.755,49.583.157.366,51.398.239.056,23.190.832.734,426.544.090.304,195546494581.0,94528681812.0,12296684755.0,49583157366.0,51398239056.0,23190832734.0,426544090304.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,154.686.033.028,20.624.439.669,21.717.933.448,24.943.415.583,38.097.875.240,30.921.110.316,290.990.807.284,154686033028.0,20624439669.0,21717933448.0,24943415583.0,38097875240.0,30921110316.0,290990807284.0
Số dư cuối năm,Giá trị phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,350.232.527.609,115.153.121.481,34.014.618.203,74.526.572.949,89.496.114.296,54.111.943.050,717.534.897.588,350232527609.0,115153121481.0,34014618203.0,74526572949.0,89496114296.0,54111943050.0,717534897588.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,154.686.033.028,111.715.714.872,21.717.933.448,24.943.415.583,38.097.875.240,30.921.110.316,382.082.082.487,154686033028.0,111715714872.0,21717933448.0,24943415583.0,38097875240.0,30921110316.0,382082082487.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,-,91.091.275.203,-,-,-,-,91.091.275.203,,91091275203.0,,,,,91091275203.0
