row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.603.431,1.276.770,516.437,139.155,5.535.793,3603431.0,1276770.0,516437.0,139155.0,5535793.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,3.134,33.390,3.587,21.881,61.992,3134.0,33390.0,3587.0,21881.0,61992.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,-,3.809,-,-,3.809,,3809.0,,,3809.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),102.004,115.661,8.960,803,227.428,102004.0,115661.0,8960.0,803.0,227428.0
Kết chuyển từ tài sản nhận cần trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cần trừ nợ,Kết chuyển từ tài sản nhận cần trừ nợ,12.710,-,-,-,12.710,12710.0,,,,12710.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.876),(10.410),(1.183),(2.906),(35.375),-20876.0,-10410.0,-1183.0,-2906.0,-35375.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,-,306,306,,,,306.0,306.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.700.403,1.419.220,527.801,159.239,5.806.663,3700403.0,1419220.0,527801.0,159239.0,5806663.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,504.290,713.383,234.840,56.892,1.509.405,504290.0,713383.0,234840.0,56892.0,1509405.0
Khấu hao trong năm (Thuyết minh số 32),Giá trị hao mòn lũy kế > Khấu hao trong năm (Thuyết minh số 32),Khấu hao trong năm (Thuyết minh số 32),87.431,126.094,40.103,12.856,266.484,87431.0,126094.0,40103.0,12856.0,266484.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị hao mòn lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.894,-,-,3.894,,3894.0,,,3894.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.264),(8.488),(994),(2.306),(18.052),-6264.0,-8488.0,-994.0,-2306.0,-18052.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,-,-,306,306,,,,306.0,306.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,585.457,834.883,273.949,67.748,1.762.037,585457.0,834883.0,273949.0,67748.0,1762037.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.099.141,563.387,281.597,82.263,4.026.388,3099141.0,563387.0,281597.0,82263.0,4026388.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.114.946,584.337,253.852,91.491,4.044.626,3114946.0,584337.0,253852.0,91491.0,4044626.0
