row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchiụ lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,5.459.219,-,-,-,-,-,-,5.459.219,,5459219.0,,,,,,,5459219.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,7.994.257,-,-,-,-,-,7.994.257,,,7994257.0,,,,,,7994257.0
Tiền gửi tại và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vaycác TCTD khác - gộp,Tiền gửi tại và cho vaycác TCTD khác - gộp,552,-,4.305.605,272.000,-,-,-,-,4.578.157,552.0,,4305605.0,272000.0,,,,,4578157.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,105.624,-,-,-,-,-,-,105.624,,105624.0,,,,,,,105624.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,15.422,-,-,-,-,-,-,15.422,,15422.0,,,,,,,15422.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.035.219,20.055.573,60.241.034,102.963.288,615.363,1.098.622,3.106.840,982.274,193.098.213,4035219.0,20055573.0,60241034.0,102963288.0,615363.0,1098622.0,3106840.0,982274.0,193098213.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,757.528,-,-,-,-,757.528,,,,757528.0,,,,,757528.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,37.667.940,1.251.013,1.833.231,2.408.621,1.960.190,21.709.151,50.761,66.880.907,,37667940.0,1251013.0,1833231.0,2408621.0,1960190.0,21709151.0,50761.0,66880907.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,3.806.662,-,-,-,-,-,-,3.806.662,,3806662.0,,,,,,,3806662.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.340.690,-,-,-,-,-,-,7.340.690,,7340690.0,,,,,,,7340690.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.182.215,43.240.488,-,-,-,-,-,-,44.422.703,1182215.0,43240488.0,,,,,,,44422703.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.217.986,117.691.618,73.791.909,105.826.047,3.023.984,3.058.812,24.815.991,1.033.035,334.459.382,5217986.0,117691618.0,73791909.0,105826047.0,3023984.0,3058812.0,24815991.0,1033035.0,334459382.0
