row_label_raw,row_label_full,Tiền gửi tại NHNN Việt Nam,Số cuối nămTriệu đồng > Tiền gửi tại NHNN Việt Nam,Số đầu nămTriệu đồng > Tiền gửi tại NHNN Việt Nam,numeric__Số cuối nămTriệu đồng > Tiền gửi tại NHNN Việt Nam,numeric__Số đầu nămTriệu đồng > Tiền gửi tại NHNN Việt Nam
- Bằng VND,- Bằng VND,- Bằng VND,7.267.613,5.830.835,7267613.0,5830835.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,726.644,963.335,726644.0,963335.0
,,,7.994.257,6.794.170,7994257.0,6794170.0
