row_label_raw,row_label_full,Số dư đầu năm,Năm nayTriệu đồng > Số dư đầu năm,Năm trướcTriệu đồng > Số dư đầu năm,numeric__Năm nayTriệu đồng > Số dư đầu năm,numeric__Năm trướcTriệu đồng > Số dư đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,193.355,20.647,193355.0,20647.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1.378.545,232.346,1378545.0,232346.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),7.500,7.500,7500.0,7500.0
,,,1.579.400,260.493,1579400.0,260493.0
Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,,
Chứng khoán đầu tư sẵn sàng để bán,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,71.738,,71738.0
Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,Trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 29),Trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 29),Chứng khoán đầu tư sẵn sàng để bán(Thuyết minh số 29),(2.216),100.970,-2216.0,100970.0
Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.3),Trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(được hạch toán vào chi phí dự phòng rủi rotín dụng) (Thuyết minh số 12.3),271.414,1.170.113,271414.0,1170113.0
Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,Sử dụng dự phòng xử lý rủi ro trong năm,,
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Sử dụng dự phòng xử lý rủi ro trong năm > Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),(278),(23.914),-278.0,-23914.0
,,,268.920,1.318.907,268920.0,1318907.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số dư cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,191.139,193.355,191139.0,193355.0
Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Số dư cuối năm > Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),Trái phiếu đặc biệt do VAMC phát hành(Thuyết minh số 12.3),1.649.681,1.378.545,1649681.0,1378545.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Số dư cuối năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành) (Thuyết minh số 12),7.500,7.500,7500.0,7500.0
,,,1.848.320,1.579.400,1848320.0,1579400.0
