row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,5.459.219,5.459.219,5.459.219,,,,,5459219.0,5459219.0,5459219.0
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,7.994.257,7.994.257,7.994.257,,,,,7994257.0,7994257.0,7994257.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,1.208.636,-,3.368.969,4.577.605,(*),,,1208636.0,,3368969.0,4577605.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,89.891,-,-,-,-,89.891,(*),89891.0,,,,,89891.0,
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,15.422,-,-,-,-,15.422,(*),15422.0,,,,,15422.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,190.768.474,-,-,190.768.474,(*),,,190768474.0,,,190768474.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,751.748,-,-,751.748,(*),,,751748.0,,,751748.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,27.397.468,-,27.397.468,(*),,,,27397468.0,,27397468.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,37.635.119,-,-,-,37.635.119,(*),,37635119.0,,,,37635119.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,511.884,-,511.884,(*),,,,511884.0,,511884.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,31.942.482,31.942.482,(*),,,,,31942482.0,31942482.0,
,,,105.313,37.635.119,192.728.858,27.909.352,48.764.927,307.143.569,,105313.0,37635119.0,192728858.0,27909352.0,48764927.0,307143569.0,
Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,3.774.694,3.774.694,,,,,,3774694.0,3774694.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,8.216.042,8.216.042,(*),,,,,8216042.0,8216042.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,289.455.981,289.455.981,(*),,,,,289455981.0,289455981.0,
"Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro",-,-,-,-,1.358.433,1.358.433,(*),,,,,1358433.0,1358433.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,600,600,(*),,,,,600.0,600.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,4.472.998,4.472.998,(*),,,,,4472998.0,4472998.0,
,,,-,-,-,-,307.278.748,307.278.748,,,,,,307278748.0,307278748.0,
