row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn, mua cổ phần",Năm nayTriệu đồng > 132.937,Năm trướcTriệu đồng > 77.607,numeric__Năm nayTriệu đồng > 132.937,numeric__Năm trướcTriệu đồng > 77.607
- Từ chứng khoán vốn kinh doanh,- Từ chứng khoán vốn kinh doanh,- Từ chứng khoán vốn kinh doanh,1.303,2.764,1303.0,2764.0
- Từ chứng khoán vốn đầu tư,- Từ chứng khoán vốn đầu tư,- Từ chứng khoán vốn đầu tư,10.638,2.155,10638.0,2155.0
"- Từ góp vốn, đầu tư dài hạn","- Từ góp vốn, đầu tư dài hạn","- Từ góp vốn, đầu tư dài hạn",20.102,7.439,20102.0,7439.0
- Từ các công ty con,- Từ các công ty con,- Từ các công ty con,100.894,65.249,100894.0,65249.0
Thu nhập từ thanh lý các khoản đầu tư dài hạn,Thu nhập từ thanh lý các khoản đầu tư dài hạn,Thu nhập từ thanh lý các khoản đầu tư dài hạn,190,-,190.0,
,,,133.127,77.607,133127.0,77607.0
