row_label_raw,row_label_full,Cổ tức phải trả đầu năm,Năm nayTriệu đồng > 10.774,Năm trướcTriệu đồng > 7.088,numeric__Năm nayTriệu đồng > 10.774,numeric__Năm trướcTriệu đồng > 7.088
Cổ tức phải trả tăng do sáp nhập,Cổ tức phải trả tăng do sáp nhập,Cổ tức phải trả tăng do sáp nhập,-,4.321,,4321.0
Cổ tức phải trả cho cổ phiếu lẻ trong năm,Cổ tức phải trả cho cổ phiếu lẻ trong năm,Cổ tức phải trả cho cổ phiếu lẻ trong năm,-,63,,63.0
Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,(575),(698),-575.0,-698.0
Cổ tức phải trả cuối năm,Cổ tức phải trả cuối năm,Cổ tức phải trả cuối năm,10.199,10.774,10199.0,10774.0
