row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Các giao dịch,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Các công ty con,Các công ty con,Các công ty con,Tiền gửi,1.246.768,1.492.588,,1246768.0,1492588.0
Các công ty con,Các công ty con,Các công ty con,Cho vay,1.208.636,985.523,,1208636.0,985523.0
Các công ty con,Các công ty con,Các công ty con,Nhận tiền gửi,(1.533.130),(2.021.795),,-1533130.0,-2021795.0
Các công ty con,Các công ty con,Các công ty con,Phải thu khác,220.932,260.058,,220932.0,260058.0
Các công ty con,Các công ty con,Các công ty con,Phải trả khác,(6.418),(8.006),,-6418.0,-8006.0
Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Cho vay,400.457,399.422,,400457.0,399422.0
Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Nhận tiền gửi,(93.622),(113.321),,-93622.0,-113321.0
Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Phải thu khác,238.086,238.086,,238086.0,238086.0
Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Các thành viên củaBan lãnh đạo Ngân hàng,Phải trả khác,(546),-,,-546.0,
Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Cho vay,18.052,3.751,,18052.0,3751.0
Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Nhận tiền gửi,(116.909),(79.290),,-116909.0,-79290.0
Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Phải thu khác,91,-,,91.0,
Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Các bên liên quander đến các thành viên của Ban lãnh đạoNgân hàng,Phải trả khác,(1.460),-,,-1460.0,
Các bên liên quander đến cổ đông lớn,Các bên liên quander đến cổ đông lớn,Các bên liên quander đến cổ đông lớn,Nhận tiền gửi,(9.959),(88.532),,-9959.0,-88532.0
