row_label_raw,row_label_full,Phân loại,Dự nợ cho vay Triệu đồng,Dự phòng cụ thể Triệu đồng,Dự phòng chung Triệu đồng,Tổng số dự phòng Triệu đồng,numeric__Dự nợ cho vay Triệu đồng,numeric__Dự phòng cụ thể Triệu đồng,numeric__Dự phòng chung Triệu đồng,numeric__Tổng số dự phòng Triệu đồng
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,192.011.865,-,1.440.090,1.440.090,192011865.0,,1440090.0,1440090.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,2.406.661,45.858,18.050,63.908,2406661.0,45858.0,18050.0,63908.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,1.235.654,15.764,9.267,25.031,1235654.0,15764.0,9267.0,25031.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,588.364,38.004,4.413,42.417,588364.0,38004.0,4413.0,42417.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,3.878.425,772.459,-,772.459,3878425.0,772459.0,,772459.0
,,,200.120.969,872.085,1.471.820,2.343.905,200120969.0,872085.0,1471820.0,2343905.0
