row_label_raw,row_label_full,Số dư đầu năm,Năm nayTriệu đồng > 14.142.479,Năm trướcTriệu đồng > 4.935.128,numeric__Năm nayTriệu đồng > 14.142.479,numeric__Năm trướcTriệu đồng > 4.935.128
Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,,,,
Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP > Phương Nam,Phương Nam,-,1.914.451,,1914451.0
Tăng từ bán nợ cho VAMC trong năm,Tăng từ sáp nhập Ngân hàng TMCP > Tăng từ bán nợ cho VAMC trong năm,Tăng từ bán nợ cho VAMC trong năm,23.471.119,7.619.029,23471119.0,7619029.0
Tất toán trong năm,Tăng từ sáp nhập Ngân hàng TMCP > Tất toán trong năm,Tất toán trong năm,(312.685),(326.129),-312685.0,-326129.0
Số dư cuối năm,Tăng từ sáp nhập Ngân hàng TMCP > Số dư cuối năm,Số dư cuối năm,37.300.913,14.142.479,37300913.0,14142479.0
