row_label_raw,row_label_full,col_0,EURđược quy đốiTriệu đồng,USDđược quy đốiTriệu đồng,Vàngđược quy đốiTriệu đồng,Các ngoại tệ khácđược quy đốiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đốiTriệu đồng,numeric__USDđược quy đốiTriệu đồng,numeric__Vàngđược quy đốiTriệu đồng,numeric__Các ngoại tệ khácđược quy đốiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,83.630,1.050.872,153.944,273.641,1.562.087,83630.0,1050872.0,153944.0,273641.0,1562087.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,726.644,-,-,726.644,,726644.0,,,726644.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,205.995,1.888.383,-,135.275,2.229.653,205995.0,1888383.0,,135275.0,2229653.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,7.687.243,402.324,-,8.089.567,,7687243.0,402324.0,,8089567.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,-,757.528,-,-,757.528,,757528.0,,,757528.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,-,164.895,72.821,87.962,325.678,,164895.0,72821.0,87962.0,325678.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,289.625,12.275.565,629.089,496.878,13.691.157,289625.0,12275565.0,629089.0,496878.0,13691157.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.612,2.543.837,-,24.912,2.570.361,1612.0,2543837.0,,24912.0,2570361.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,275.787,8.071.360,-,201.641,8.548.788,275787.0,8071360.0,,201641.0,8548788.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,16.291,455.499,-,197.644,669.434,16291.0,455499.0,,197644.0,669434.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,1.107.950,-,-,1.107.950,,1107950.0,,,1107950.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,4,-,-,4,,4.0,,,4.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,3.071,127.670,-,2.298,133.039,3071.0,127670.0,,2298.0,133039.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,296.761,12.306.320,-,426.495,13.029.576,296761.0,12306320.0,,426495.0,13029576.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(7.136),(30.755),629.089,70.383,661.581,-7136.0,-30755.0,629089.0,70383.0,661581.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,5.835,(118.453),(150.609),24.602,(238.625),5835.0,-118453.0,-150609.0,24602.0,-238625.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.301),(149.208),478.480,94.985,422.956,-1301.0,-149208.0,478480.0,94985.0,422956.0
