row_label_raw,row_label_full,col_0,Dự phòngcu thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòngcu thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dự đầu năm,Số dự đầu năm,Số dự đầu năm,390.721,915.677,1.306.398,390721.0,915677.0,1306398.0
Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,Tăng dự phòng từ sáp nhập Ngân hàngTMCP Phương Nam,486.473,318.442,804.915,486473.0,318442.0,804915.0
Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,820.445,129.377,949.822,820445.0,129377.0,949822.0
Số dự phòng đã sử dụng để xử lý rủi rotừ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi rotừ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi rotừ tháng 1 đến tháng 11,(10.424),-,(10.424),-10424.0,,-10424.0
Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC từ tháng 1 đến tháng 11,(250.013),-,(250.013),-250013.0,,-250013.0
Giảm dự phòng do chuyển đổi Chi nhánh ởLào thành ngân hàng con,Giảm dự phòng do chuyển đổi Chi nhánh ởLào thành ngân hàng con,Giảm dự phòng do chuyển đổi Chi nhánh ởLào thành ngân hàng con,(665),(7.324),(7.989),-665.0,-7324.0,-7989.0
Số dự dự phòng rủi ro tại ngày 30 tháng 11năm 2015,Số dự dự phòng rủi ro tại ngày 30 tháng 11năm 2015,Số dự dự phòng rủi ro tại ngày 30 tháng 11năm 2015,1.436.537,1.356.172,2.792.709,1436537.0,1356172.0,2792709.0
Số hoàn nhập dự phòng trong tháng 12,Số hoàn nhập dự phòng trong tháng 12,Số hoàn nhập dự phòng trong tháng 12,-,(24.990),(24.990),,-24990.0,-24990.0
Số dự phòng đã sử dụng để xử lý rủi ro trongtháng 12,Số dự phòng đã sử dụng để xử lý rủi ro trongtháng 12,Số dự phòng đã sử dụng để xử lý rủi ro trongtháng 12,(9.147),-,(9.147),-9147.0,,-9147.0
Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ báncho VAMC trong tháng 12,(593.125),-,(593.125),-593125.0,,-593125.0
Số dự cuối năm,Số dự cuối năm,Số dự cuối năm,834.265,1.331.182,2.165.447,834265.0,1331182.0,2165447.0
