row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.307.984.320.000,901.532.493.943,150.829.313.956,83.930.071.437,2.444.276.199.336,1307984320000.0,901532493943.0,150829313956.0,83930071437.0,2444276199336.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,,,,33.731.614.991,33.731.614.991,,,,33731614991.0,33731614991.0
Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,494.369.040.000,(494.369.040.000),,-,-,494369040000.0,-494369040000.0,,,
Phí liên quan đến tăng vốn điều lệ và chi trả cổ phiếu lẻ,Phí liên quan đến tăng vốn điều lệ và chi trả cổ phiếu lẻ,Phí liên quan đến tăng vốn điều lệ và chi trả cổ phiếu lẻ,,(220.004.000),-,-,(220.004.000),,-220004000.0,,,-220004000.0
Trích quỹ khen thường phúc lợi từ lợi nhuận 2014,Trích quỹ khen thường phúc lợi từ lợi nhuận 2014,Trích quỹ khen thường phúc lợi từ lợi nhuận 2014,,,-,(700.000.000),(700.000.000),,,,-700000000.0,-700000000.0
Chia cổ tức từ lợi nhuận năm 2014,Chia cổ tức từ lợi nhuận năm 2014,Chia cổ tức từ lợi nhuận năm 2014,,,,(69.274.572.575),(69.274.572.575),,,,-69274572575.0,-69274572575.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.802.353.360.000,406.943.449.943,150.829.313.956,47.687.113.853,2.407.813.237.752,1802353360000.0,406943449943.0,150829313956.0,47687113853.0,2407813237752.0
