row_label_raw,row_label_full,col_0,Cáp và vật liệu viễn thông,Kinh doanh bất động sản,Đầu tư tài chính và lĩnh vực khác,Cộng,numeric__Cáp và vật liệu viễn thông,numeric__Kinh doanh bất động sản,numeric__Đầu tư tài chính và lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
"- Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác","Năm nay > - Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác","- Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác",-,569.626.260.500,50.217.633.745,619.843.894.245,,569626260500.0,50217633745.0,619843894245.0
- Chi phí trực tiếp,Năm nay > - Chi phí trực tiếp,- Chi phí trực tiếp,-,569.266.768.032,1.688.157.857,570.954.925.889,,569266768032.0,1688157857.0,570954925889.0
- Các chi phí phân bổ,Năm nay > - Các chi phí phân bổ,- Các chi phí phân bổ,-,13.929.356.402,1.227.996.963,15.157.353.365,,13929356402.0,1227996963.0,15157353365.0
- Lợi nhuận trước thuế,Năm nay > - Lợi nhuận trước thuế,- Lợi nhuận trước thuế,-,(13.569.863.934),47.301.478.925,33.731.614.991,,-13569863934.0,47301478925.0,33731614991.0
- Lợi nhuận sau thuế thu nhập doanh nghiệp,Năm nay > - Lợi nhuận sau thuế thu nhập doanh nghiệp,- Lợi nhuận sau thuế thu nhập doanh nghiệp,-,(13.569.863.934),47.301.478.925,33.731.614.991,,-13569863934.0,47301478925.0,33731614991.0
,,,Cáp và vật liệu viễn thông,Kinh doanh bất động sản,Đầu tư tài chính và lĩnh vực khác,Cộng,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
"- Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác","Năm trước > - Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác","- Doanh thu thuần bán hàng, cung cấp dịch vụ và thu nhập khác",-,662.634.000,79.691.170.048,80.353.804.048,,662634000.0,79691170048.0,80353804048.0
- Chi phí trực tiếp,Năm trước > - Chi phí trực tiếp,- Chi phí trực tiếp,-,-,(8.739.507.263),(8.739.507.263),,,-8739507263.0,-8739507263.0
- Các chi phí phân bổ,Năm trước > - Các chi phí phân bổ,- Các chi phí phân bổ,-,164.530.560,19.787.141.726,19.951.672.286,,164530560.0,19787141726.0,19951672286.0
- Lợi nhuận trước thuế,Năm trước > - Lợi nhuận trước thuế,- Lợi nhuận trước thuế,-,498.103.440,68.643.535.585,69.141.639.025,,498103440.0,68643535585.0,69141639025.0
- Lợi nhuận sau thuế thu nhập doanh nghiệp,Năm trước > - Lợi nhuận sau thuế thu nhập doanh nghiệp,- Lợi nhuận sau thuế thu nhập doanh nghiệp,-,498.103.440,68.643.535.585,69.141.639.025,,498103440.0,68643535585.0,69141639025.0
