row_label_raw,row_label_full,Đối tượng > Đầu tư góp vốn vào đơn vị khác,31/12/2015 > Số lượng (cổ phiếu),31/12/2015 > Giá trị (VND) > 33.374.153.647,01/01/2015 > Số lượng (cổ phiếu),01/01/2015 > Số lượng (cổ phiếu) > 33.987.701.647,numeric__31/12/2015 > Số lượng (cổ phiếu),numeric__31/12/2015 > Giá trị (VND) > 33.374.153.647,numeric__01/01/2015 > Số lượng (cổ phiếu),numeric__01/01/2015 > Số lượng (cổ phiếu) > 33.987.701.647
- Công ty Cổ phần Du lịch Bưu Điện,- Công ty Cổ phần Du lịch Bưu Điện,- Công ty Cổ phần Du lịch Bưu Điện,300.000,3.000.000.000,300.000,3.000.000.000,300000.0,3000000000.0,300000.0,3000000000.0
- Công ty XL & DV Khánh Hòa,- Công ty XL & DV Khánh Hòa,- Công ty XL & DV Khánh Hòa,-,-,65.000,613.548.000,,,65000.0,613548000.0
- Công ty Cổ phần Alphanam,- Công ty Cổ phần Alphanam,- Công ty Cổ phần Alphanam,216.000,7.243.518.147,216.000,7.243.518.147,216000.0,7243518147.0,216000.0,7243518147.0
- Công ty Cổ phần Momota,- Công ty Cổ phần Momota,- Công ty Cổ phần Momota,500.000,13.500.000.000,500.000,13.500.000.000,500000.0,13500000000.0,500000.0,13500000000.0
- Công ty TNHH Thăng Long,- Công ty TNHH Thăng Long,- Công ty TNHH Thăng Long,,9.630.635.500,,9.630.635.500,,9630635500.0,,9630635500.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,50.000.000.000,,50.000.000.000,,50000000000.0,,50000000000.0
- Dự án Khu dân cư Nhơn Trạch (*),- Dự án Khu dân cư Nhơn Trạch (*),- Dự án Khu dân cư Nhơn Trạch (*),,50.000.000.000,,50.000.000.000,,50000000000.0,,50000000000.0
Cộng,Cộng,Cộng,,83.374.153.647,,83.987.701.647,,83374153647.0,,83987701647.0
Dự phòng giảm giá đầu tư vào đơn vị khác,Dự phòng giảm giá đầu tư vào đơn vị khác,Dự phòng giảm giá đầu tư vào đơn vị khác,,15.101.549.563,,16.139.753.647,,15101549563.0,,16139753647.0
Giá trị thuần,Giá trị thuần,Giá trị thuần,,68.272.604.084,,67.847.948.000,,68272604084.0,,67847948000.0
