row_label_raw,row_label_full,Chỉ tiêu trên Bằng cân đối kế toán,31/12/2014Sau phân loại,31/12/2014Trước phân loại,Chênh lệch,numeric__31/12/2014Sau phân loại,numeric__31/12/2014Trước phân loại,numeric__Chênh lệch
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,-,8.000.000.000,(8.000.000.000),,8000000000.0,-8000000000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,105.750.061.647,(105.750.061.647),,105750061647.0,-105750061647.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,-,(71.545.794.224),71.545.794.224,,-71545794224.0,71545794224.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,21.762.360.000,-,21.762.360.000,21762360000.0,,21762360000.0
Dự phòng giảm giá chứng khoán kinh doanh (*),Dự phòng giảm giá chứng khoán kinh doanh (*),Dự phòng giảm giá chứng khoán kinh doanh (*),(9.400.000.000),-,(9.400.000.000),-9400000000.0,,-9400000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,83.987.701.647,-,83.987.701.647,83987701647.0,,83987701647.0
Dự phòng đầu tư tài chính dài hạn (*),Dự phòng đầu tư tài chính dài hạn (*),Dự phòng đầu tư tài chính dài hạn (*),(62.145.794.224),-,(62.145.794.224),-62145794224.0,,-62145794224.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,8.000.000.000,-,8.000.000.000,8000000000.0,,8000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,-,306.153.230,(306.153.230),,306153230.0,-306153230.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,306.153.230,-,306.153.230,306153230.0,,306153230.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,-,58.629.878.868,(58.629.878.868),,58629878868.0,-58629878868.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,58.629.878.868,-,58.629.878.868,58629878868.0,,58629878868.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,-,196.593.026.293,(196.593.026.293),,196593026293.0,-196593026293.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",196.593.026.293,-,196.593.026.293,196593026293.0,,196593026293.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,21.312.286,(21.312.286),,21312286.0,-21312286.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,-,171.625.848.657,(171.625.848.657),,171625848657.0,-171625848657.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,171.647.160.943,-,171.647.160.943,171647160943.0,,171647160943.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,-,527.048.204,(527.048.204),,527048204.0,-527048204.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,527.048.204,-,527.048.204,527048204.0,,527048204.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,-,85.281.958.500,(85.281.958.500),,85281958500.0,-85281958500.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,85.281.958.500,-,85.281.958.500,85281958500.0,,85281958500.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",-,2.164.524.738,(2.164.524.738),,2164524738.0,-2164524738.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,2.164.524.738,-,2.164.524.738,2164524738.0,,2164524738.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,-,52.800.000.000,(52.800.000.000),,52800000000.0,-52800000000.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,52.800.000.000,-,52.800.000.000,52800000000.0,,52800000000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,150.829.313.956,102.320.528.753,48.508.785.203,150829313956.0,102320528753.0,48508785203.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,48.508.785.203,(48.508.785.203),,48508785203.0,-48508785203.0
