row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Cộng
Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,,,,,
Số dư đầu năm,Nguyên giá tài sản cố định hữu hình > Số dư đầu năm,Số dư đầu năm,24.327.942.140,227.752.727,2.654.682.718,1.585.836.650,28.796.214.235,24327942140.0,227752727.0,2654682718.0,1585836650.0,28796214235.0
Số tăng trong năm,Nguyên giá tài sản cố định hữu hình > Số tăng trong năm,Số tăng trong năm,11.169.131.000,-,-,-,11.169.131.000,11169131000.0,,,,11169131000.0
- Mua sắm mới,Nguyên giá tài sản cố định hữu hình > - Mua sắm mới,- Mua sắm mới,11.169.131.000,-,-,-,11.169.131.000,11169131000.0,,,,11169131000.0
- Xây dựng mới,- Xây dựng mới,- Xây dựng mới,-,-,-,-,-,,,,,
Số giảm trong năm,- Xây dựng mới > Số giảm trong năm,Số giảm trong năm,8.304.104.164,227.752.727,688.567.627,216.694.170,9.437.118.688,8304104164.0,227752727.0,688567627.0,216694170.0,9437118688.0
"- Thanh lý, nhượng bán","- Xây dựng mới > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",8.304.104.164,227.752.727,688.567.627,216.694.170,9.437.118.688,8304104164.0,227752727.0,688567627.0,216694170.0,9437118688.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,27.192.968.976,-,1.966.115.091,1.369.142.480,30.528.226.547,27192968976.0,,1966115091.0,1369142480.0,30528226547.0
Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,,,,,
Số dư đầu năm,Giá trị đã hao mòn > Số dư đầu năm,Số dư đầu năm,22.543.971.461,223.956.824,2.654.682.718,1.585.836.650,27.008.447.653,22543971461.0,223956824.0,2654682718.0,1585836650.0,27008447653.0
Khấu hao trong năm,Giá trị đã hao mòn > Khấu hao trong năm,Khấu hao trong năm,294.392.429,3.795.903,-,-,298.188.332,294392429.0,3795903.0,,,298188332.0
Giảm trong năm,Giá trị đã hao mòn > Giảm trong năm,Giảm trong năm,8.304.104.164,227.752.727,688.567.627,216.694.170,9.437.118.688,8304104164.0,227752727.0,688567627.0,216694170.0,9437118688.0
"- Thanh lý, nhượng bán","Giá trị đã hao mòn > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",8.304.104.164,227.752.727,688.567.627,216.694.170,9.437.118.688,8304104164.0,227752727.0,688567627.0,216694170.0,9437118688.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,14.534.259.726,-,1.966.115.091,1.369.142.480,17.869.517.297,14534259726.0,,1966115091.0,1369142480.0,17869517297.0
Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,Giá trị còn lại của tài sản cố định hữu hình,,,,,
Tại ngày đầu năm,Giá trị còn lại của tài sản cố định hữu hình > Tại ngày đầu năm,Tại ngày đầu năm,1.783.970.679,3.795.903,-,-,1.787.766.582,1783970679.0,3795903.0,,,1787766582.0
Tại ngày cuối năm,Giá trị còn lại của tài sản cố định hữu hình > Tại ngày cuối năm,Tại ngày cuối năm,12.658.709.250,-,-,-,12.658.709.250,12658709250.0,,,,12658709250.0
