row_label_raw,row_label_full,Tỷ lệ sở hữu,Giá trị (VND),numeric__Giá trị (VND)
"99,40%","99,40%","99,40%",400.000.000.000,400000000000.0
"99,76%","99,76%","99,76%",860.400.000.000,860400000000.0
"73,75%","73,75%","73,75%",118.000.000.000,118000000000.0
"99,90%","99,90%","99,90%",499.500.000.000,499500000000.0
,,,1.877.900.000.000,1877900000000.0
,,,27.894.686.692,27894686692.0
,,,1.850.005.313.308,1850005313308.0
