row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Giá trị khoản phải thu / (phải trả) (VND),numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Giá trị khoản phải thu / (phải trả) (VND)
Công ty Cổ phần Địa Óc Sacom,Công ty Cổ phần Địa Óc Sacom,Công ty Cổ phần Địa Óc Sacom,Công ty con,"Phải trả phí thiết kế, xây dựngVayPhải trả phí đo đạcBán căn hộ dự án Giai ViệtGớp vốn dự án Nhơn Trạch",(8.786.044.100)(30.000.000.000)(33.526.500)304.587.907.16150.000.000.000,,,
Công ty TNHH Sacom - Chíp Sáng,Công ty Cổ phần Địa Óc Sacom > Công ty TNHH Sacom - Chíp Sáng,Công ty TNHH Sacom - Chíp Sáng,Công ty con,Cho vayLãi vay phải tthu,8.000.000.000707.861.110,,,8.000000000707862e+18
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Vay ngắn hạnPhải thu khác,(41.000.000.000)10.056.800,,,
Công ty CP BDS Hiệp Phú,Công ty Cổ phần Dây và Cáp Sacom > Công ty CP BDS Hiệp Phú,Công ty CP BDS Hiệp Phú,"Công ty liên kết, liên doanh",Vay ngắn hạn,(61.883.657.371),,,-61883657371.0
