row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Quyền sử dụng đất,
Nguyên giá tài sản cố định vô hình,Nguyên giá tài sản cố định vô hình,Nguyên giá tài sản cố định vô hình,Nguyên giá tài sản cố định vô hình,
Số dư đầu năm,Nguyên giá tài sản cố định vô hình > Số dư đầu năm,Số dư đầu năm,2.379.350.000,2379350000.0
Số tăng trong năm,Số tăng trong năm,Số tăng trong năm,-,
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,
Số dư cuối năm,Số giảm trong năm > Số dư cuối năm,Số dư cuối năm,2.379.350.000,2379350000.0
Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,Giá trị đã hao mòn,
Số dư đầu năm,Giá trị đã hao mòn > Số dư đầu năm,Số dư đầu năm,1.427.610.000,1427610000.0
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,-,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,
Số dư cuối năm,Giảm trong năm > Số dư cuối năm,Số dư cuối năm,1.427.610.000,1427610000.0
Giá trị còn lại của tài sản cố định vô hình,Giá trị còn lại của tài sản cố định vô hình,Giá trị còn lại của tài sản cố định vô hình,Giá trị còn lại của tài sản cố định vô hình,
Tại ngày đầu năm,Giá trị còn lại của tài sản cố định vô hình > Tại ngày đầu năm,Tại ngày đầu năm,951.740.000,951740000.0
Tại ngày cuối năm,Giá trị còn lại của tài sản cố định vô hình > Tại ngày cuối năm,Tại ngày cuối năm,951.740.000,951740000.0
