row_label_raw,row_label_full,Các bên liên quan > Công ty Cổ phần Địa Óc Sacom,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Nhận dịch vụ sửa chữa văn phòngBán căn hộ Giai ViệtLợi nhuận dự án Giai ViệtVay ngắn hạnCổ tức năm 2014Góp vốn điều lệ bằng tài sảnBán căn hộ Hoàng Anh,Giá trị giao dịch (VND) > 11.169.131.000523.648.372.5001.483.473.52659.000.000.00017.244.500.797182.040.000.00042.506.948.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Nhận dịch vụ sửa chữa văn phòngBán căn hộ Giai ViệtLợi nhuận dự án Giai ViệtVay ngắn hạnCổ tức năm 2014Góp vốn điều lệ bằng tài sảnBán căn hộ Hoàng Anh,numeric__Giá trị giao dịch (VND) > 11.169.131.000523.648.372.5001.483.473.52659.000.000.00017.244.500.797182.040.000.00042.506.948.000
Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,Lãi cho vayGóp vốn điều lệCho vay,477.840.277174.300.000.00059.500.000.000,,,4.778402771743e+31
Công ty TNHH Sacom - Chíp Sáng,Công ty TNHH Sacom - Chíp Sáng,Công ty TNHH Sacom - Chíp Sáng,Công ty con,Lãi cho vayThuê hội trường,505.916.66631.990.000,,,5.059166663199e+16
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,"Doanh thu cho thuê mặt bằng, điện, nướcDoanh thu thanh lý nhà xưởng Tân VạnVay",150.361.1931.050.000.00041.000.000.000,,,1.50361193105e+29
Công ty Liên doanh Cáp TaiHan-Sacom,Công ty Liên doanh Cáp TaiHan-Sacom,Công ty Liên doanh Cáp TaiHan-Sacom,"Công ty liên kết, liên doanh","Doanh thu cho thuê mặt bằng, điện, nước",122.242.760,,,122242760.0
Công ty CP BDS Hiệp Phú,Công ty CP BDS Hiệp Phú,Công ty CP BDS Hiệp Phú,"Công ty liên kết, liên doanh",Vay ngắn hạn,9.083.657.371,,,9083657371.0
