row_label_raw,row_label_full,Tỷ lệ sở hữu,Giá trị (VND),numeric__Giá trị (VND)
"99,40%","99,40%","99,40%",198.800.000.000,198800000000.0
"99,76%","99,76%","99,76%",686.100.000.000,686100000000.0
"73,75%","73,75%","73,75%",118.000.000.000,118000000000.0
100%,100%,100%,500.000.000.000,500000000000.0
,,,1.502.900.000.000,1502900000000.0
,,,15.316.193.273,15316193273.0
,,,1.487.583.806.727,1487583806727.0
