row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,25.035.350,21.026.872,25035350.0,21026872.0
- Chỉ phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),- Chỉ phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),- Chỉ phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),2.056.294,1.847.575,2056294.0,1847575.0
- Các khoản phải thu khác(Thuyết minh số 16.2),- Các khoản phải thu khác(Thuyết minh số 16.2),- Các khoản phải thu khác(Thuyết minh số 16.2),22.979.056,19.179.297,22979056.0,19179297.0
Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,12.544.317,10.257.174,12544317.0,10257174.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,1.288,562,1288.0,562.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.876.877,1.735.918,2876877.0,1735918.0
- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,82.960,82.960,82960.0,82960.0
- Chỉ phí chờ phân bổ,- Chỉ phí chờ phân bổ,- Chỉ phí chờ phân bổ,2.409.982,1.446.642,2409982.0,1446642.0
- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,55.420,55.420,55420.0,55420.0
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,328.515,150.896,328515.0,150896.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),(460.127),(428.730),-460127.0,-428730.0
,,,39.997.705,32.591.796,39997705.0,32591796.0
