row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm (Trình bày lại),numeric__Số đầu năm (Trình bày lại)_1
,,,Triệu VND,%,Triệu VND,%,,,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,1.692.679.356,"97,26",1.447.292.850,"97,26",1692679356.0,97.26,1447292850.0,97.26
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,26.694.810,"1,53",23.710.288,"1,59",26694810.0,1.53,23710288.0,1.59
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,3.321.038,"0,19",3.443.674,"0,23",3321038.0,0.19,3443674.0,0.23
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,5.484.381,"0,32",2.594.581,"0,17",5484381.0,0.32,2594581.0,0.17
Nợ có khả năng mắt vốn,Nợ có khả năng mắt vốn,Nợ có khả năng mắt vốn,12.211.783,"0,70",11.109.107,"0,75",12211783.0,0.7,11109107.0,0.75
,,,1.740.391.368,"100,00",1.488.150.500,"100,00",1740391368.0,100.0,1488150500.0,100.0
