row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu VND,%,Triệu VND,%,,,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",61.252.541,"3,52",57.444.609,"3,86",61252541.0,3.52,57444609.0,3.86
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",287.063.377,"16,49",235.368.492,"15,82",287063377.0,16.49,235368492.0,15.82
"Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước",94.743.993,"5,44",79.094.586,"5,31",94743993.0,5.44,79094586.0,5.31
Xây dựng,Xây dựng,Xây dựng,107.745.616,"6,19",112.753.879,"7,58",107745616.0,6.19,112753879.0,7.58
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",548.172.620,"31,50",457.510.446,"30,74",548172620.0,31.5,457510446.0,30.74
Dịch vụ,Dịch vụ,Dịch vụ,232.689.278,"13,37",178.637.194,"12,00",232689278.0,13.37,178637194.0,12.0
Ngành khác,Ngành khác,Ngành khác,408.723.943,"23,49",367.341.294,"24,69",408723943.0,23.49,367341294.0,24.69
,,,,"100,00",,"100,00",,100.0,,100.0
,,,1.740.391.368,,1.488.150.500,,1740391368.0,,1488150500.0,
