row_label_raw,row_label_full,col_0,Số dư đầu năm(Trình bày lại),Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Phát sinh trong năm > Số dư cuối năm,numeric__Số dư đầu năm(Trình bày lại),numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Phát sinh trong năm > Số dư cuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,70.650,453.511,(579.314),(55.153),70650.0,453511.0,-579314.0,-55153.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,2.327.013,5.322.824,(4.322.551),3.327.286,2327013.0,5322824.0,-4322551.0,3327286.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,141.386,1.528.304,(1.517.202),152.488,141386.0,1528304.0,-1517202.0,152488.0
"Các khoản phải nộp khácvà các khoản phí, lệ phí","Các khoản phải nộp khácvà các khoản phí, lệ phí","Các khoản phải nộp khácvà các khoản phí, lệ phí",171.720,29.065,(29.060),171.725,171720.0,29065.0,-29060.0,171725.0
,,,2.710.769,7.333.704,(6.448.127),3.596.346,2710769.0,7333704.0,-6448127.0,3596346.0
