row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đó,Điều chính,Số trình bày lại,numeric__Số đã trình bày trước đó,numeric__Điều chính,numeric__Số trình bày lại
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG,,,
Thu nhập lãi và các khoản thu nhập tương tự,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,118.621.106,(109.985),118.511.121,118621106.0,-109985.0,118511121.0
Thu nhập lãi thuần,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập lãi thuần,Thu nhập lãi thuần,54.556.761,(109.985),54.446.776,54556761.0,-109985.0,54446776.0
Thu nhập từ hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,6.419.180,3.731,6.422.911,6419180.0,3731.0,6422911.0
Lãi thuần từ hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,4.143.793,3.731,4.147.524,4143793.0,3731.0,4147524.0
Tổng thu nhập hoạt động,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Tổng thu nhập hoạt động,Tổng thu nhập hoạt động,67.019.205,(106.254),66.912.951,67019205.0,-106254.0,66912951.0
Chi phí khấu hao,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí khấu hao,Chi phí khấu hao,(983.493),126,(983.367),-983493.0,126.0,-983367.0
Chi phí hoạt động khác,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí hoạt động khác,Chi phí hoạt động khác,(8.025.988),(157.054),(8.183.042),-8025988.0,-157054.0,-8183042.0
Tổng chi phí hoạt động,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(21.034.866),(156.928),(21.191.794),-21034866.0,-156928.0,-21191794.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,45.984.339,(263.182),45.721.157,45984339.0,-263182.0,45721157.0
Chi phí dự phòng rủi ro tín dụng,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(23.478.137),173.151,(23.304.986),-23478137.0,173151.0,-23304986.0
Tổng lợi nhuận trước thuế,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,22.506.202,(90.031),22.416.171,22506202.0,-90031.0,22416171.0
Chi phí thuế TNDN hiện hành,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(4.440.493),16.303,(4.424.190),-4440493.0,16303.0,-4424190.0
Chi phí thuế TNDN,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí thuế TNDN,Chi phí thuế TNDN,(4.442.377),16.303,(4.426.074),-4442377.0,16303.0,-4426074.0
Lợi nhuận sau thuế TNDN,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,18.063.825,(73.728),17.990.097,18063825.0,-73728.0,17990097.0
