row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nay,Năm trước,Ghi chú,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước,numeric__Ghi chú
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Triệu VND,Triệu VND,Ghi chú,,,,
THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,,,,
"Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường",,,,
Ông Phan Đức Tú,"Thù lao, thường > Ông Phan Đức Tú",Ông Phan Đức Tú,Chủ tịch,2.481,2.331,,,2481.0,2331.0,
Ông Lê Ngọc Lâm,"Thù lao, thường > Ông Lê Ngọc Lâm",Ông Lê Ngọc Lâm,Ủy viên Hội đồngQuản trị kiểm TổngGiám đốc,2.153,1.944,,,2153.0,1944.0,
Bà Phan Thị Chinh,"Thù lao, thường > Bà Phan Thị Chinh",Bà Phan Thị Chinh,Ủy viên,2.205,1.972,,,2205.0,1972.0,
Ông Ngô Văn Dũng,"Thù lao, thường > Ông Ngô Văn Dũng",Ông Ngô Văn Dũng,Ủy viên,1.903,1.709,,,1903.0,1709.0,
Ông Yoo Je Bong,"Thù lao, thường > Ông Yoo Je Bong",Ông Yoo Je Bong,Ủy viên,4.027,4.014,,,4027.0,4014.0,
Ông Phạm Quang Tùng,"Thù lao, thường > Ông Phạm Quang Tùng",Ông Phạm Quang Tùng,Ủy viên,1.969,1.788,,,1969.0,1788.0,
Bà Nguyễn Thị Thu Hương,"Thù lao, thường > Bà Nguyễn Thị Thu Hương",Bà Nguyễn Thị Thu Hương,Ủy viên,-,1.355,Nghĩ hưu theo chế độ từ ngày 01 tháng 11 năm 2022,,,1355.0,
Ông Trần Xuân Hoàng,"Thù lao, thường > Ông Trần Xuân Hoàng",Ông Trần Xuân Hoàng,Ủy viên,2.264,2.053,,,2264.0,2053.0,
Ông Lê Kim Hòa,"Thù lao, thường > Ông Lê Kim Hòa",Ông Lê Kim Hòa,Ủy viên,1.999,1.861,,,1999.0,1861.0,
Ông Quách Hùng Hiệp,"Thù lao, thường > Ông Quách Hùng Hiệp",Ông Quách Hùng Hiệp,Ủy viên,2.099,1.878,Miễn nhiệm Phó Tổng Giám đốc ngày 30 tháng 01 năm 2024; Bố nhiệm Ủy viên Hội đồng quản trị ngày 30 tháng 01 năm 2024,,2099.0,1878.0,
Ông Đăng Văn Tuyên,"Thù lao, thường > Ông Đăng Văn Tuyên",Ông Đăng Văn Tuyên,Ủy viên,1.089,-,Bố nhiệm từ ngày 28 tháng 4 năm 2023,,1089.0,,
THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,,,,
"Lương, thường","Lương, thường","Lương, thường","Lương, thường","Lương, thường","Lương, thường","Lương, thường",,,,
Ông Trần Phương,"Lương, thường > Ông Trần Phương",Ông Trần Phương,Phó Tổng Giám đốc,1.903,1.788,,,1903.0,1788.0,
Ông Lê Trung Thành,"Lương, thường > Ông Lê Trung Thành",Ông Lê Trung Thành,Phó Tổng Giám đốc,1.903,1.702,,,1903.0,1702.0,
Ông Nguyễn Thiên Hoàng,"Lương, thường > Ông Nguyễn Thiên Hoàng",Ông Nguyễn Thiên Hoàng,Phó Tổng Giám đốc,1.811,1.667,,,1811.0,1667.0,
Ông Trần Long,"Lương, thường > Ông Trần Long",Ông Trần Long,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
Bà Nguyễn Thị Quỳnh Giao,"Lương, thường > Bà Nguyễn Thị Quỳnh Giao",Bà Nguyễn Thị Quỳnh Giao,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
Ông Phan Thanh Hải,"Lương, thường > Ông Phan Thanh Hải",Ông Phan Thanh Hải,Phó Tổng Giám đốc,1.625,1.467,,,1625.0,1467.0,
Ông Hoàng Việt Hùng,"Lương, thường > Ông Hoàng Việt Hùng",Ông Hoàng Việt Hùng,Phó Tổng Giám đốc,1.641,1.526,,,1641.0,1526.0,
THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,THÀNH VIÊN BAN KIỂM SOÁT,,,,
"Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường","Thù lao, thường",,,,
Bà Võ Bích Hà,"Thù lao, thường > Bà Võ Bích Hà",Bà Võ Bích Hà,Trường Ban Kiểm soát,-,1.487,Nghĩ hưu theo chế độ từ ngày 01 tháng 12 năm 2022,,,1487.0,
Bà Tạ Thị Hạnh,"Thù lao, thường > Bà Tạ Thị Hạnh",Bà Tạ Thị Hạnh,Trường Ban Kiểm soát,1.818,1.625,Miễn nhiệm Kế toán trưởng ngày 30 tháng 01 năm 2024; Bố nhiệm Trường Ban Kiểm soát ngày 30 tháng 01 năm 2024,,1818.0,1625.0,
Ông Cao Cơ Trí,"Thù lao, thường > Ông Cao Cơ Trí",Ông Cao Cơ Trí,Thành viên,1.487,1.095,,,1487.0,1095.0,
Bà Nguyễn Thị Thu Hà,"Thù lao, thường > Bà Nguyễn Thị Thu Hà",Bà Nguyễn Thị Thu Hà,Thành viên chuyên trách,974,898,,,974.0,898.0,
