row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,10.375.064,13.221.709,,5.0,10375064.0,13221709.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,46.709.905,106.304.480,,6.0,46709905.0,106304480.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,7,216.005.850,224.765.336,,7.0,216005850.0,224765336.0
1.,A > 1.,1.,Tiền gửi tại các TCTD khác,,200.037.610,206.296.581,,,200037610.0,206296581.0
2.,A > 2.,2.,Cho vay các TCTD khác,,16.053.391,18.553.677,,,16053391.0,18553677.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,8,(85.151),(84.922),,8.0,-85151.0,-84922.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,9,5.336.900,62.094,,9.0,5336900.0,62094.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,5.336.900,62.094,,,5336900.0,62094.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,-,1.038.368,,10.0,,1038368.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.700.986.316,1.451.082.649,,,1700986316.0,1451082649.0
1.,A > 1.,1.,Cho vay khách hàng,11,1.740.391.368,1.488.150.500,,11.0,1740391368.0,1488150500.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(39.405.052),(37.067.851),,12.0,-39405052.0,-37067851.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,13,220.551.564,233.602.135,,13.0,220551564.0,233602135.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,127.319.859,162.030.120,,,127319859.0,162030120.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,94.104.390,71.923.968,,,94104390.0,71923968.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(872.685),(351.953),,,-872685.0,-351953.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,7.846.189,7.828.118,,14.0,7846189.0,7828118.0
1.,A > 1.,1.,Đầu tư vào công ty con,14.1,5.699.523,5.699.523,,141.0,5699523.0,5699523.0
2.,A > 2.,2.,Vốn góp liên doanh,14.2,2.021.143,2.021.143,,142.0,2021143.0,2021143.0
3.,A > 3.,3.,Đầu tư vào công ty liên kết,14.3,244.207,244.207,,143.0,244207.0,244207.0
4.,A > 4.,4.,"Góp vốn, đầu tư dài hạn khác",,153.750,153.750,,,153750.0,153750.0
5.,A > 5.,5.,Dự phòng giảm giá đầu tư dài hạn,14.4,(272.434),(290.505),,144.0,-272434.0,-290505.0
IX.,A > IX.,IX.,Tài sản cố định,15,10.250.385,9.737.761,,15.0,10250385.0,9737761.0
1.,A > 1.,1.,Tài sản cố định hữu hình,15.1,5.697.818,5.415.018,,151.0,5697818.0,5415018.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,14.265.367,13.326.128,,,14265367.0,13326128.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(8.567.549),(7.911.110),,,-8567549.0,-7911110.0
2.,A > 2.,2.,Tài sản cố định thuê tài chính,15.2,225,2.054,,152.0,225.0,2054.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,37.494,42.312,,,37494.0,42312.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(37.269),(40.258),,,-37269.0,-40258.0
3.,A > 3.,3.,Tài sản cố định vô hình,15.3,4.552.342,4.320.689,,153.0,4552342.0,4320689.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,6.838.720,6.365.183,,,6838720.0,6365183.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(2.286.378),(2.044.494),,,-2286378.0,-2044494.0
X.,A > X.,X.,Tài sản Có khác,16,39.997.705,32.591.796,,16.0,39997705.0,32591796.0
1.,A > 1.,1.,Các khoản phải thu,,25.035.350,21.026.872,,,25035350.0,21026872.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,12.544.317,10.257.174,,,12544317.0,10257174.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,1.288,562,,,1288.0,562.0
4.,A > 4.,4.,Tài sản Có khác,,2.876.877,1.735.918,,,2876877.0,1735918.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(460.127),(428.730),,,-460127.0,-428730.0
,,,TỔNG TÀI SẢN,,2.258.059.878,2.080.234.446,,,2258059878.0,2080234446.0
