row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụngcụ quản lý,TSCD hữu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụngcụ quản lý,numeric__TSCD hữu hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),6.529.354,5.095.615,1.386.319,183.845,130.995,13.326.128,6529354.0,5095615.0,1386319.0,183845.0,130995.0,13326128.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,400.623,397.418,109.490,1.545,20.506,929.582,400623.0,397418.0,109490.0,1545.0,20506.0,929582.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,161.689,105.350,23.599,20.022,3.655,314.315,161689.0,105350.0,23599.0,20022.0,3655.0,314315.0
Mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ hữu hình > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,1.517,3.300,-,-,4.817,,1517.0,3300.0,,,4817.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.893),(235.533),(45.977),(8.762),(9.885),(310.050),-9893.0,-235533.0,-45977.0,-8762.0,-9885.0,-310050.0
Tăng khác,Nguyên giá TSCĐ hữu hình > Tăng khác,Tăng khác,21,554,-,-,-,575,21.0,554.0,,,,575.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,7.081.794,5.364.921,1.476.731,196.650,145.271,14.265.367,7081794.0,5364921.0,1476731.0,196650.0,145271.0,14265367.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),2.570.694,4.019.921,1.049.257,160.319,110.919,7.911.110,2570694.0,4019921.0,1049257.0,160319.0,110919.0,7911110.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,336.768,452.508,143.907,14.920,10.878,958.981,336768.0,452508.0,143907.0,14920.0,10878.0,958981.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,1.396,3.186,-,-,4.582,,1396.0,3186.0,,,4582.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.713),(234.982),(45.229),(8.644),(9.833),(307.401),-8713.0,-234982.0,-45229.0,-8644.0,-9833.0,-307401.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,13,264,-,-,-,277,13.0,264.0,,,,277.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.898.762,4.239.107,1.151.121,166.595,111.964,8.567.549,2898762.0,4239107.0,1151121.0,166595.0,111964.0,8567549.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.958.660,1.075.694,337.062,23.526,20.076,5.415.018,3958660.0,1075694.0,337062.0,23526.0,20076.0,5415018.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.183.032,1.125.814,325.610,30.055,33.307,5.697.818,4183032.0,1125814.0,325610.0,30055.0,33307.0,5697818.0
