row_label_raw,row_label_full,col_0,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Tài sản,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Công nợ,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Giá trị thuần,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Tài sản,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Công nợ,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo tài chính) > Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,107.945.165,(108.286.542),(341.377),107945165.0,-108286542.0,-341377.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,8.248.229,(8.273.049),(24.820),8248229.0,-8273049.0,-24820.0
Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,99.696.936,(100.013.493),(316.557),99696936.0,-100013493.0,-316557.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,3.294.287,(3.288.118),6.169,3294287.0,-3288118.0,6169.0
Hoán đổi lãi suất,Hoán đổi lãi suất,Hoán đổi lãi suất,3.294.287,(3.288.118),6.169,3294287.0,-3288118.0,6169.0
,,,111.239.452,(111.574.660),(335.208),111239452.0,-111574660.0,-335208.0
