row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rút ro lăi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Kỳ thay đổi lãi suất_6,numeric__Quá hạn,numeric__Không chịu rút ro lăi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Kỳ thay đổi lãi suất_6
,,,Quá hạn,Không chịu rút ro lăi suất do định giá lại,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,10.375.064,-,-,-,-,-,-,10.375.064,,10375064.0,,,,,,,10375064.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,46.709.905,-,-,-,-,-,-,46.709.905,,46709905.0,,,,,,,46709905.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),535,-,163.053.248,17.952.485,34.992.001,61.821,30.911,-,216.091.001,535.0,,163053248.0,17952485.0,34992001.0,61821.0,30911.0,,216091001.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,4.936,10.202,1.014.809,4.306.953,-,-,5.336.900,,,4936.0,10202.0,1014809.0,4306953.0,,,5336900.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),17.512.938,32.113,340.006.015,439.915.827,694.849.460,209.060.493,37.844.435,8.439.961,1.747.661.242,17512938.0,32113.0,340006015.0,439915827.0,694849460.0,209060493.0,37844435.0,8439961.0,1747661242.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,4.928.142,52.408,6.065.485,23.069.163,30.220.097,63.341.086,86.477.994,214.154.375,,4928142.0,52408.0,6065485.0,23069163.0,30220097.0,63341086.0,86477994.0,214154375.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.118.623,-,-,-,-,-,-,8.118.623,,8118623.0,,,,,,,8118623.0
